DISTRICT,DISTNAME,DPETALLC,ASIAN,AMERICAN INDIAN OR ALASKA NAT,NATIVE HAWAIIAN/OTHER PACIFIC,HISPANIC/LATINO,BLACK OR AFRICAN AMERICAN,TWO OR MORE RACES,Special Education,WHITE,Economic Disadvantage
19903,MAUD ISD,480,0,2,0,11,40,20,55,405,267
19905,NEW BOSTON ISD,1370,8,6,1,89,293,116,186,854,830
19906,REDWATER ISD,1147,3,3,0,30,33,12,89,1063,462
19907,TEXARKANA ISD,7195,86,28,7,985,3230,309,690,2547,4942
19908,LIBERTY-EYLAU ISD,2560,5,10,12,140,1290,122,322,977,2091
19909,SIMMS ISD,506,0,1,0,21,0,14,83,469,282
19910,MALTA ISD,128,0,2,0,7,0,11,12,108,71
19911,RED LICK ISD,532,2,4,0,18,4,12,32,491,53
19912,PLEASANT GROVE ISD,2115,76,10,10,156,296,76,181,1488,592
19913,HUBBARD ISD,88,0,2,0,16,0,5,10,63,49
19914,LEARY ISD,113,0,0,0,9,2,4,7,96,76
20901,ALVIN ISD,20757,1805,83,20,9112,3238,394,1909,6102,10233
20902,ANGLETON ISD,6677,33,53,6,3104,761,133,547,2577,4072
20904,DANBURY ISD,783,3,10,0,158,3,20,61,588,248
20905,BRAZOSPORT ISD,12382,173,61,12,6451,1027,284,1015,4358,6834
20906,SWEENY ISD,1903,3,11,1,420,268,81,156,1117,924
20907,COLUMBIA-BRAZORIA ISD,3076,6,9,0,848,353,83,246,1774,1633
20908,PEARLAND ISD,20481,2048,102,20,6267,3276,573,1740,8171,5550
20910,DAMON ISD,189,0,0,0,99,3,3,21,82,189
21803,BRAZOS SCHOOL FOR INQUIRY & CREATI,434,0,0,0,161,247,3,26,20,397
21805,ARROW ACADEMY,844,3,0,0,303,509,1,31,25,625
21901,COLLEGE STATION ISD,12377,977,37,12,2648,1708,358,1002,6621,4220
21902,BRYAN ISD,15943,63,31,15,8768,3013,239,1291,3810,11734
22004,TERLINGUA CSD,87,0,2,0,68,0,0,10,16,68
22901,ALPINE ISD,1011,7,0,1,656,5,9,83,332,490
22902,MARATHON ISD,41,0,0,0,25,0,0,5,15,27
22903,SAN VICENTE ISD,29,0,0,0,8,0,2,2,18,8
23902,SILVERTON ISD,185,0,0,0,81,4,2,17,95,100
24901,BROOKS COUNTY ISD,1528,1,1,0,1503,0,1,120,19,1275
25901,BANGS ISD,1014,0,1,1,246,32,27,104,706,420
25902,BROWNWOOD ISD,3589,32,14,0,1396,190,111,305,1841,2379
25904,BLANKET ISD,210,1,3,1,52,3,2,31,144,102
25905,MAY ISD,294,0,0,0,57,2,2,22,231,169
25906,ZEPHYR ISD,208,0,0,0,18,1,4,13,183,133
25908,BROOKESMITH ISD,181,1,0,0,41,0,3,24,135,112
25909,EARLY ISD,1228,15,4,1,276,39,34,131,857,541
26901,CALDWELL ISD,1768,5,5,0,629,169,44,116,912,942
26902,SOMERVILLE ISD,468,0,0,0,143,116,16,53,191,342
26903,SNOOK ISD,517,0,0,0,126,147,10,42,232,341
27903,BURNET CISD,3131,12,12,3,901,40,65,319,2097,1772
27904,MARBLE FALLS ISD,4054,24,12,16,1775,105,60,421,2055,2420
28902,LOCKHART ISD,5351,16,21,5,3734,235,69,663,1273,3756
28903,LULING ISD,1375,0,1,1,896,83,16,134,375,985
28906,PRAIRIE LEA ISD,163,0,0,0,73,15,0,15,72,131
29901,CALHOUN COUNTY ISD,4216,223,12,0,2630,92,37,341,1218,2563
30901,CROSS PLAINS ISD,350,2,1,0,33,0,2,32,311,199
30902,CLYDE CISD,1453,5,2,1,207,20,30,143,1184,682
30903,BAIRD ISD,322,0,0,0,66,2,3,36,247,217
30906,EULA ISD,405,2,0,0,48,4,14,38,334,208
31901,BROWNSVILLE ISD,48269,96,0,0,47786,48,0,4923,289,45710
31903,HARLINGEN CISD,18625,93,18,0,17041,93,37,1601,1341,13726
31905,LA FERIA ISD,3595,3,3,0,3472,3,3,276,104,2980
31906,LOS FRESNOS CISD,10631,21,10,0,10258,21,10,797,308,8313
31909,POINT ISABEL ISD,2493,12,2,0,2281,9,12,216,172,1892
31911,RIO HONDO ISD,2181,0,0,0,2095,2,2,176,76,1821
31912,SAN BENITO CISD,11018,0,0,0,10907,0,11,826,88,8428
31913,SANTA MARIA ISD,716,0,0,0,705,0,0,47,10,680
31914,SANTA ROSA ISD,1144,0,0,0,1127,3,0,83,11,1025
