DISTRICT,Year,ALL-DAE,ALL-DAE-S,ALL-EXP,ALL-EXP-S,ALL-ISS,ALL-ISS-S,ALL-OSS,ALL-OSS-S,ALL-POP,ASI-DAE,ASI-DAE-S,ASI-EXP,ASI-EXP-S,ASI-ISS,ASI-ISS-S,ASI-OSS,ASI-OSS-S,ASI-POP,BLA-DAE,BLA-DAE-S,BLA-EXP,BLA-EXP-S,BLA-ISS,BLA-ISS-S,BLA-OSS,BLA-OSS-S,BLA-POP,ECO-DAE,ECO-DAE-S,ECO-EXP,ECO-EXP-S,ECO-ISS,ECO-ISS-S,ECO-OSS,ECO-OSS-S,ECO-POP,HIS-DAE,HIS-DAE-S,HIS-EXP,HIS-EXP-S,HIS-ISS,HIS-ISS-S,HIS-OSS,HIS-OSS-S,HIS-POP,IND-DAE,IND-DAE-S,IND-EXP,IND-EXP-S,IND-ISS,IND-ISS-S,IND-OSS,IND-OSS-S,IND-POP,PCI-DAE,PCI-DAE-S,PCI-EXP,PCI-EXP-S,PCI-ISS,PCI-ISS-S,PCI-OSS,PCI-OSS-S,PCI-POP,SPE-DAE,SPE-DAE-S,SPE-EXP,SPE-EXP-S,SPE-ISS,SPE-ISS-S,SPE-OSS,SPE-OSS-S,SPE-POP,TWO-DAE,TWO-DAE-S,TWO-EXP,TWO-EXP-S,TWO-ISS,TWO-ISS-S,TWO-OSS,TWO-OSS-S,TWO-POP,WHI-DAE,WHI-DAE-S,WHI-EXP,WHI-EXP-S,WHI-ISS,WHI-ISS-S,WHI-OSS,WHI-OSS-S,WHI-POP
57804,2006,,-6,,-5,36,-6,222,-6,3362,,0,,0,,-6,,-6,3362,,0,,0,1,-6,145,6,1547,,0,,0,11,-6,104,-6,2286,,0,,0,25,3,67,-6,1647,,0,,0,,-6,1,-6,3362,,,,,,,,,3362,,0,,0,9,3,28,1,370,,,,,,,,,3362,,0,,0,8,5,8,-1,134
57805,2006,,-3,,-1,,-6,,-6,176,,0,,0,,0,,0,176,,0,,0,,0,,0,9,,0,,0,,0,,0,111,,0,,0,,0,,0,125,,0,,0,,0,,0,176,,,,,,,,,176,,0,,0,,0,,0,16,,,,,,,,,176,,0,,0,,0,,0,39
57806,2006,,-6,,-2,,-6,16,-6,872,,0,,0,,0,,-6,872,,0,,0,,0,1,-2,227,,0,,0,1,0,14,-1,787,,0,,0,1,1,13,1,628,,0,,0,,0,,-6,872,,,,,,,,,872,,0,,0,,0,1,1,52,,,,,,,,,872,,0,,0,,0,,-1,17
57807,2006,,-6,,-3,123,-6,286,2,2079,,0,,0,1,-6,,-6,2079,,0,,0,89,6,203,6,998,,0,,0,60,1,174,6,925,,0,,0,24,-1,61,-1,478,,0,,0,,-6,,-6,2079,,,,,,,,,2079,,0,,0,31,6,79,6,208,,,,,,,,,2079,,0,,0,9,-6,22,-6,603
57808,2006,,-6,6,2,22,-6,44,-6,1325,,0,,-6,,-6,1,-6,1325,,0,6,3,16,2,30,2,768,,0,6,3,9,-1,21,-1,685,,0,1,1,1,-2,6,-1,212,,0,,-6,,-6,,-6,1325,,,,,,,,,1325,,0,1,1,5,4,1,-1,66,,,,,,,,,1325,,0,,-1,1,-2,9,1,199
57809,2006,,-3,,-1,,-6,,-6,165,,0,,0,,0,,0,165,,0,,0,,0,,0,78,,0,,0,,0,,0,149,,0,,0,,0,,0,86,,0,,0,,0,,0,165,,,,,,,,,165,,0,,0,,0,,0,5,,,,,,,,,165,,0,,0,,0,,0,2
57810,2006,,-6,,-1,,-6,,-6,593,,0,,0,,0,,0,593,,0,,0,,0,,0,528,,0,,0,,0,,0,549,,0,,0,,0,,0,59,,0,,0,,0,,0,593,,,,,,,,,593,,0,,0,,0,,0,36,,,,,,,,,593,,,,,,,,,0
57811,2006,,-5,,-1,,-6,,-6,338,,0,,0,,0,,0,338,,0,,0,,0,,0,335,,0,,0,,0,,0,330,,0,,0,,0,,0,3,,0,,0,,0,,0,338,,,,,,,,,338,,0,,0,,0,,0,14,,,,,,,,,338,,,,,,,,,0
57813,2006,,-6,,-1,,-6,,-6,565,,0,,0,,0,,0,565,,0,,0,,0,,0,40,,0,,0,,0,,0,488,,0,,0,,0,,0,525,,0,,0,,0,,0,565,,,,,,,,,565,,0,,0,,0,,0,40,,,,,,,,,565,,,,,,,,,0
57814,2006,,-6,,-4,,-6,,-6,2919,,0,,0,,0,,0,2919,,0,,0,,0,,0,1284,,0,,0,,0,,0,2919,,0,,0,,0,,0,1314,,0,,0,,0,,0,2919,,,,,,,,,2919,,0,,0,,0,,0,467,,,,,,,,,2919,,0,,0,,0,,0,292
57816,2006,,-6,,-2,,-6,,-6,1078,,0,,0,,0,,0,1078,,0,,0,,0,,0,1046,,0,,0,,0,,0,918,,0,,0,,0,,0,32,,0,,0,,0,,0,1078,,,,,,,,,1078,,0,,0,,0,,0,129,,,,,,,,,1078,,,,,,,,,0
57817,2006,,-6,,-1,138,-2,55,-1,465,,0,,0,,-6,,-6,465,,0,1,0,121,2,53,4,381,,0,1,1,65,2,30,3,179,,0,,0,17,-2,1,-5,79,,0,,0,,-6,,-6,465,,,,,,,,,465,,0,1,1,57,5,24,5,107,,,,,,,,,465,,0,,0,,-1,,-1,5
57819,2006,,-3,,-1,,-6,,-6,147,,0,,0,,0,,0,147,,0,,0,,0,,0,49,,0,,0,,0,,0,102,,0,,0,,0,,0,62,,0,,0,,0,,0,147,,,,,,,,,147,,0,,0,,0,,0,76,,,,,,,,,147,,0,,0,,0,,0,34
57827,2006,,-5,,-1,,-6,10,-6,302,,0,,0,,0,,-6,302,,0,1,1,1,1,6,1,163,,0,1,0,1,0,9,-1,280,,0,,0,1,1,1,-3,136,,0,,0,,0,,-6,302,,,,,,,,,302,,0,,0,,0,1,1,15,,,,,,,,,302,,,,,,,,,0
57828,2006,,-6,221,6,18,-6,671,6,4233,,0,7,-6,,-6,13,-6,4233,,0,47,2,6,2,140,3,720,,0,37,-6,1,-5,173,-6,1757,,0,91,6,6,1,170,1,1058,,0,,-6,,-6,1,-6,4233,,,,,,,,,4233,,0,24,-1,1,-1,97,2,550,,,,,,,,,4233,,0,76,-6,6,-2,344,-3,2328
57829,2006,,-6,26,6,,-6,134,-1,1073,,0,,-6,,0,,-6,1073,,0,1,-2,,0,21,2,129,,0,12,-4,,0,87,-3,797,,0,19,1,1,1,91,-1,730,,0,,-6,,0,1,-6,1073,,,,,,,,,1073,,0,1,-1,,0,25,3,118,,,,,,,,,1073,,0,6,1,,0,21,-2,215
57830,2006,,-6,,-1,,-6,36,-6,613,,0,,0,,0,,-6,613,,0,1,2,,0,9,2,104,,0,1,0,,0,27,-3,538,,0,1,1,,0,27,-1,478,,0,,0,,0,,-6,613,,,,,,,,,613,,0,,0,,0,9,5,25,,,,,,,,,613,,0,,0,,0,,-1,25
57831,2006,,-6,,-1,,-6,,-6,589,,0,,0,,0,,0,589,,0,,0,,0,,0,571,,0,,0,,0,,0,519,,0,,0,,0,,0,12,,0,,0,,0,,0,589,,,,,,,,,589,,0,,0,,0,,0,59,,,,,,,,,589,,,,,,,,,0
57832,2006,,-6,,-1,,-6,,-6,491,,0,,0,,0,,0,491,,0,,0,,0,,0,260,,0,1,1,,0,1,1,234,,0,1,1,,0,1,1,113,,0,,0,,0,,0,491,,,,,,,,,491,,0,1,1,,0,1,1,98,,,,,,,,,491,,0,,0,,0,,0,103
57833,2006,,-3,,-1,60,1,43,5,164,,0,,0,,-6,1,-6,164,,0,,0,14,1,16,3,34,,0,,0,24,1,17,1,63,,0,,0,23,1,18,2,52,,0,,0,,-6,,-6,164,,,,,,,,,164,,0,,0,12,4,8,3,11,,,,,,,,,164,,0,,0,23,-1,8,-4,71
57834,2006,,-6,,-1,8,-6,35,-6,589,,0,,0,,-6,,-6,589,,0,,0,5,1,17,1,265,,0,,0,1,-2,12,-2,283,,0,,0,1,-2,17,2,218,,0,,0,,-6,,-6,589,,,,,,,,,589,,0,,0,1,1,1,-2,71,,,,,,,,,589,,0,,0,,-1,1,-3,100
57835,2006,,-5,,-1,,-6,59,3,352,,0,,0,,0,,-6,352,,0,,0,,0,,-1,7,,0,,0,,0,57,1,338,,0,,0,,0,59,2,338,,0,,0,,0,,-6,352,,,,,,,,,352,,0,,0,,0,19,5,35,,,,,,,,,352,,0,,0,,0,,-1,4
57836,2006,,-4,,-1,,-6,,-6,209,,0,,0,,0,,0,209,,0,,0,,0,,0,209,,0,,0,,0,,0,81,,,,,,,,,0,,0,,0,,0,,0,209,,,,,,,,,209,,0,,0,,0,,0,10,,,,,,,,,209,,,,,,,,,0
57837,2006,,-4,,-1,,-6,,-6,203,,0,,0,,0,,0,203,,0,,0,,0,,0,130,,0,,0,,0,,0,171,,0,,0,,0,,0,69,,0,,0,,0,,0,203,,,,,,,,,203,,0,,0,,0,,0,26,,,,,,,,,203,,0,,0,,0,,0,4
61802,2006,,-5,,-1,,-6,,-6,410,,0,,0,,0,,0,410,,0,,0,,0,,0,41,,0,,0,,0,,0,133,,0,,0,,0,,0,78,,0,,0,,0,,0,410,,,,,,,,,410,,0,,0,,0,,0,74,,,,,,,,,410,,0,,0,,0,,0,291
70801,2006,,-5,,-1,10,-6,,-6,329,,0,,0,,-6,,0,329,,0,,0,1,-1,1,2,39,,0,,0,1,-5,10,3,203,,0,,0,1,-2,1,1,92,,0,,0,1,-6,,0,329,,,,,,,,,329,,0,,0,1,-1,,0,39,,,,,,,,,329,,0,1,1,6,1,14,5,188
71801,2006,,-5,,-1,,-6,,-6,293,,0,,0,,0,,0,293,,0,,0,,0,,0,15,,0,,0,,0,,0,126,,0,,0,,0,,0,211,,0,,0,,0,,0,293,,,,,,,,,293,,0,,0,,0,,0,41,,,,,,,,,293,,0,,0,,0,,0,53
71803,2006,,-5,,-1,,-6,,-6,421,,0,,0,,0,,0,421,,0,,0,,0,,0,8,,0,,0,,0,,0,268,,0,,0,,0,,0,392,,0,,0,,0,,0,421,,,,,,,,,421,,0,,0,,0,,0,17,,,,,,,,,421,,0,,0,,0,,0,21
71804,2006,,-6,,-2,,-6,65,-5,807,,0,,0,,0,,-6,807,,0,,0,,0,,-1,16,,0,,0,,0,40,-2,562,,0,,0,,0,57,-1,718,,0,,0,,0,,-6,807,,,,,,,,,807,,0,,0,,0,6,1,56,,,,,,,,,807,,0,,0,,0,8,2,65
