DISTRICT,Year,ALL-DAE,ALL-DAE-S,ALL-EXP,ALL-EXP-S,ALL-ISS,ALL-ISS-S,ALL-OSS,ALL-OSS-S,ALL-POP,ASI-DAE,ASI-DAE-S,ASI-EXP,ASI-EXP-S,ASI-ISS,ASI-ISS-S,ASI-OSS,ASI-OSS-S,ASI-POP,BLA-DAE,BLA-DAE-S,BLA-EXP,BLA-EXP-S,BLA-ISS,BLA-ISS-S,BLA-OSS,BLA-OSS-S,BLA-POP,ECO-DAE,ECO-DAE-S,ECO-EXP,ECO-EXP-S,ECO-ISS,ECO-ISS-S,ECO-OSS,ECO-OSS-S,ECO-POP,HIS-DAE,HIS-DAE-S,HIS-EXP,HIS-EXP-S,HIS-ISS,HIS-ISS-S,HIS-OSS,HIS-OSS-S,HIS-POP,IND-DAE,IND-DAE-S,IND-EXP,IND-EXP-S,IND-ISS,IND-ISS-S,IND-OSS,IND-OSS-S,IND-POP,PCI-DAE,PCI-DAE-S,PCI-EXP,PCI-EXP-S,PCI-ISS,PCI-ISS-S,PCI-OSS,PCI-OSS-S,PCI-POP,SPE-DAE,SPE-DAE-S,SPE-EXP,SPE-EXP-S,SPE-ISS,SPE-ISS-S,SPE-OSS,SPE-OSS-S,SPE-POP,TWO-DAE,TWO-DAE-S,TWO-EXP,TWO-EXP-S,TWO-ISS,TWO-ISS-S,TWO-OSS,TWO-OSS-S,TWO-POP,WHI-DAE,WHI-DAE-S,WHI-EXP,WHI-EXP-S,WHI-ISS,WHI-ISS-S,WHI-OSS,WHI-OSS-S,WHI-POP
15811,2006,,-3,,-1,,-6,,-6,172,,0,,0,,0,,0,172,,,,,,,,,0,,0,,0,1,0,1,0,161,,0,,0,1,0,1,0,172,,0,,0,,0,,0,172,,,,,,,,,172,,0,,0,,0,,0,10,,,,,,,,,172,,,,,,,,,0
15812,2006,,-6,,-1,,-6,41,-4,478,,0,,0,,0,,-6,478,,0,,0,,0,1,1,10,,0,,0,1,0,22,-6,414,,0,,0,1,0,39,-1,454,,0,,0,,0,,-6,478,,,,,,,,,478,,0,,0,,0,8,-2,139,,,,,,,,,478,,0,,0,,0,,-1,14
15813,2006,,-1,,0,,-6,,-4,42,,0,,0,,0,,0,42,,0,,0,,0,,0,31,,0,,0,,0,,0,38,,0,,0,,0,,0,5,,0,,0,,0,,0,42,,,,,,,,,42,,0,,0,,0,,0,3,,,,,,,,,42,,0,,0,,0,,0,5
15817,2006,,-6,,-2,20,-6,33,-6,868,,0,,0,1,-6,,-6,868,,0,,0,,-1,,-1,26,,0,,0,13,-2,21,-3,700,,0,,0,18,-1,31,1,790,,0,,0,,-6,,-6,868,,,,,,,,,868,,0,,0,8,2,6,-1,182,,,,,,,,,868,,0,,0,1,-1,1,-1,52
15818,2006,,-5,,-1,,-6,16,-5,265,,0,,0,,0,,-6,265,,0,,0,,0,,-1,13,,0,1,0,,0,11,-3,243,,0,1,0,,0,13,-1,236,,0,,0,,0,,-6,265,,,,,,,,,265,,0,,0,,0,5,2,32,,,,,,,,,265,,0,,0,,0,1,-1,19
15823,2006,,-3,,-1,2,-6,6,-5,180,,0,,0,,-5,,-6,180,,0,,0,,0,,0,4,,0,,0,1,-1,,-6,160,,0,1,0,1,-2,6,0,175,,0,,0,,-5,,-6,180,,,,,,,,,180,,0,1,2,1,1,1,1,29,,,,,,,,,180,,0,,0,,0,,0,4
15824,2006,,-5,,-1,2,-6,2,-6,247,,0,,0,,-5,,-5,247,,0,,0,1,1,1,1,27,,0,,0,1,-1,5,2,154,,0,,0,5,2,1,-1,178,,0,,0,,-5,,-5,247,,,,,,,,,247,,0,,0,1,1,1,1,37,,,,,,,,,247,,0,,0,1,1,1,1,37
15901,2006,56,-6,,-5,799,-6,93,-6,4809,,-6,,0,,-6,,-6,4809,1,1,1,3,81,6,14,6,96,16,2,,0,264,6,44,6,890,32,5,,0,368,6,53,6,1443,,-6,,0,1,-6,,-6,4809,,,,,,,,,4809,8,2,,0,168,6,29,6,385,,,,,,,,,4809,22,-5,,0,349,-6,26,-6,3174
15904,2006,564,6,46,3,7415,6,3572,6,16083,,-6,,-6,,-6,,-6,16083,5,-1,,-1,41,-5,45,2,161,437,-6,29,-6,6360,-6,2964,-6,14668,541,2,43,-1,7107,4,3381,-1,15279,,-6,,-6,5,-6,1,-6,16083,,,,,,,,,16083,175,6,11,3,1767,6,1116,6,2091,,,,,,,,,16083,18,-2,1,-1,262,-2,145,1,643
15905,2006,254,-6,19,-2,5190,6,2454,6,13862,,-6,,-6,1,-6,1,-6,13862,8,4,,0,90,5,38,3,139,195,-6,13,-4,4263,-6,2013,-6,12767,246,-1,19,1,5053,2,2404,4,13446,,-6,,-6,,-6,,-6,13862,,,,,,,,,13862,73,6,6,3,1382,6,805,6,1802,,,,,,,,,13862,,-2,,0,46,-1,11,-4,139
15906,2006,,-6,,-2,94,-6,11,-6,1197,,0,,0,1,-6,,-6,1197,,0,,0,30,3,6,3,275,,0,,0,22,3,1,-1,175,,0,,0,8,-2,1,-1,180,,0,,0,1,-6,,-6,1197,,,,,,,,,1197,,0,,0,24,5,1,-1,132,,,,,,,,,1197,,0,,0,52,-1,1,-5,694
