SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT08R,DA0708DR08R,DADC408R,DA0GR08N,DAGC408R,DA311TA09R,DA311TR09R,DA311TW09R,DA311TM09R,DA311TC09R,DA311TS09R,DB311TA09R,DH311TA09R,DW311TA09R,DO311TA09R,DE311TA09R,DACTA09R,DA0CT08R,DA0CC08R,DA0CS08R,DA0CA08R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Charlotte,007901,007 ATASCOSA,20,AA,5,514,0,86,14,0,73.5,5,9,5,42,5,95.1,1.3,6.1,30,90.9,49,77,91,61,57,72,.,46,63,.,44,70,72.2,0,.,15.6,88,44,2,3,2,50,19,24,73238,60304,53570,46677,53,5.9,11.7,24.9,12.5,23,24.1,0,29,71,0,73,7,1,8,11,0,189808,1.200000,5573496,10950,70,21,9,636623,13,5617155,5169777,10157,59,11,6,12,13,3025079,5943,53,10,24,2,8,0,3,0
Jourdanton,007902,007 ATASCOSA,20,RE,6,1257,1,60,39,1,55.8,2,9,2,28,7,96.1,0,7.1,79,85.9,76,93,94,82,81,88,.,70,86,88,69,82,54.8,20,889,19,194,100,1,5,3,52,14,26,78633,70433,56754,46853,42,6.5,12.6,28,13.9,20,16.5,0,20,80,0,82,7,1,0,7,3,334532,1.170000,12431768,9914,47,45,8,2511366,24,12234424,11264980,8983,56,6,7,12,20,6281876,5009,64,12,11,0,7,0,5,1
Lytle,007904,007 ATASCOSA,20,AA,5,1690,1,77,22,1,68.5,7,8,6,34,6,96.1,0,6.1,113,80.9,62,89,85,72,68,91,71,59,72,.,55,88,72.4,17.1,930,20,255,115,2,7,10,45,10,26,75507,46013,44344,42914,53,6.6,14.7,44.3,9.6,22.6,21.8,1,34,65,0,75,10,7,0,7,2,121729,1.240000,15987206,9918,68,18,14,1168527,9,15771113,14163388,8786,52,6,5,12,24,7329238,4547,55,14,19,1,6,0,5,1
Pleasanton,007905,007 ATASCOSA,20,AA,9,3452,0,67,32,0,61.8,3,10,3,23,6,95,0.2,13,222,76.5,74,91,93,82,77,91,86,69,84,71,65,79,48.1,22.7,996,20.1,560,257,2,3,7,46,14,29,83212,67237,51989,43157,36,6.2,13.4,37.7,10.1,14.4,20.8,0,20,79,1,74,13,5,0,4,5,184254,1.150000,31810448,9128,56,31,13,4644048,18,32537682,29698412,8522,54,6,6,11,22,16152100,4635,58,24,9,1,4,1,2,2
Poteet,007906,007 ATASCOSA,20,AA,5,1716,1,84,15,0,80,5,8,5,27,6,95,0,6.1,114,83.2,64,88,90,75,65,86,83,61,82,.,60,76,34,8.6,860,16.9,254,118,1,3,5,46,13,30,76590,61876,52654,42832,57,6.8,14.6,39.7,11.8,20.8,20.7,1,38,60,1,80,7,5,2,6,1,100151,1.150000,15644996,9043,75,16,9,3168250,25,17792652,14048628,8121,52,9,7,12,20,7338276,4242,62,13,17,0,4,1,2,1
Bellville,008901,008 AUSTIN,06,RE,5,2156,13,22,64,1,38.4,9,12,9,24,13,96.1,0.3,0.6,158,93.3,85,96,97,91,87,95,69,79,90,.,76,95,68.1,44.9,1059,22.5,352,165,1,3,8,47,13,28,71633,64611,49828,42649,18,6.1,13,22.6,14.1,16.4,12.5,2,1,96,0,76,10,2,2,6,3,406951,1.280000,20916318,9482,43,53,4,3202537,18,22838453,18229268,8263,54,8,6,13,19,9898143,4487,62,16,8,2,6,1,4,1
Sealy,008902,008 AUSTIN,06,AA,4,2628,13,41,45,0,49.5,11,11,11,25,6,96.2,0,4.5,150,87.8,76,91,95,83,81,96,59,71,86,83,67,81,60.9,23.1,963,21,354,198,2,3,8,56,14,18,80691,68255,51848,46691,18,7.4,13.3,30.7,12.7,8,19.4,4,6,90,0,73,10,2,4,6,6,406434,1.220000,28045653,10879,44,45,11,4433541,22,27192212,24406611,9467,56,6,6,12,20,13563756,5261,56,24,9,1,5,1,3,2
Brazos,008903,008 AUSTIN,06,RE,3,809,15,40,44,1,49.7,10,9,9,24,3,96.1,0,2.9,67,95.7,81,95,93,88,84,95,58,83,85,.,74,87,67.2,23.1,969,19.3,130,70,2,2,7,54,8,27,65471,74530,45462,46553,23,6.2,11.6,21.5,14.7,14.9,21,1,6,93,0,80,6,0,5,5,4,451008,1.350000,8318237,9986,33,62,5,962002,11,9284325,7908394,9494,55,6,6,14,20,4382935,5262,68,11,8,2,3,2,6,0
Muleshoe,009901,009 BAILEY,17,AU,5,1462,0,78,21,0,78.9,18,11,17,19,5,95.7,0,19.1,72,73.4,71,87,96,84,73,89,.,65,90,.,66,80,62.3,28.9,1116,19.9,227,123,2,3,6,54,16,19,78059,61539,46946,40781,25,6.4,11.9,28.8,12.2,18.8,19.1,0,11,89,0,78,8,3,7,3,1,159443,1.370000,16454624,11058,59,29,12,1654713,14,21591084,12701413,8536,57,7,6,9,22,7201080,4839,54,14,20,3,4,0,5,1
Medina,010901,010 BANDERA,20,RE,2,349,3,17,79,1,50.7,5,14,5,36,7,96.9,0,4,26,96,81,97,.,89,80,99,83,86,81,.,76,92,.,36.8,1056,20.8,76,39,3,3,6,51,13,25,79185,68839,47213,38923,6,4.6,9,25.6,13.2,20.5,10.3,0,5,95,0,62,9,8,0,10,10,485205,1.000000,4319571,12032,51,43,6,2126581,50,4395314,4311111,12009,52,10,5,14,18,2240329,6240,50,26,12,1,8,0,4,0
Bandera,010902,010 BANDERA,20,AA,4,2504,1,26,73,1,50.4,4,13,4,25,10,95.2,0,7.8,191,85.4,80,93,94,86,87,97,67,67,84,57,74,88,74.3,23.8,986,20.9,371,189,1,3,7,51,10,29,82536,67098,55279,48008,10,6.7,13.2,22.6,13.2,18.5,9.5,0,5,95,0,73,10,8,0,4,5,447326,1.230000,25181245,9969,36,56,7,5492906,27,23290667,21060514,8337,57,5,4,10,24,12014034,4756,61,15,14,0,5,0,4,1
Bastrop,011901,011 BASTROP,13,AA,13,8705,9,44,46,1,59.9,15,12,13,19,10,94.4,0,10.5,484,77.4,68,89,89,78,72,89,53,59,78,80,59,80,57.1,16,939,19.5,1113,595,1,3,8,53,11,24,85290,68783,54298,45989,29,7.8,14.6,30.6,12.3,18.8,14.5,5,14,80,1,60,10,10,9,3,7,286410,1.481000,85771729,10066,42,49,9,11031391,18,89764618,68648357,8056,57,5,5,10,24,38838733,4558,50,23,9,7,3,4,2,2
Elgin,011902,011 BASTROP,13,AA,6,3863,15,51,33,1,65.7,19,10,19,27,5,95,0.2,8.9,212,78.6,60,83,85,72,65,85,45,52,76,71,52,81,47.3,11.2,939,17.8,492,247,1,3,6,50,11,29,86877,62991,50005,44530,35,7.8,15.7,41.6,11.1,19,19.9,4,16,80,0,81,10,3,0,4,1,220632,1.480000,36352949,9817,53,40,8,6247024,22,63354882,27685338,7476,57,6,5,11,20,15787446,4263,55,17,16,1,4,2,3,2
Smithville,011904,011 BASTROP,13,AA,4,1695,10,20,69,1,48.6,4,11,4,21,6,95,0.3,7,107,91.2,71,90,89,80,76,91,42,57,78,.,60,90,70.8,19,973,19.9,256,134,1,3,7,52,12,24,81014,55782,45428,41460,13,6.6,12.6,34.7,11.9,15.7,18.8,5,1,94,0,77,14,1,1,5,3,316151,1.254000,16197857,9545,46,46,8,2877939,21,16907280,14753916,8694,54,6,5,13,22,8024264,4728,54,21,13,2,5,0,4,1
McDade,011905,011 BASTROP,13,AA,1,205,3,40,57,0,66.8,20,11,20,0,5,96.5,0,.,0,.,68,94,93,81,58,94,.,62,70,.,60,.,.,.,.,.,32,15,6,3,9,46,18,17,60047,55000,40458,37122,18,6.3,13.7,40,9.3,0,14.3,0,0,100,0,76,10,13,0,0,0,325176,1.103000,2164015,11450,49,40,11,552616,31,1927183,1761816,9322,53,11,5,13,18,927174,4906,57,16,23,4,0,1,1,0
Seymour,012901,012 BAYLOR,09,RE,3,555,4,16,78,1,47.7,1,9,1,30,5,95.9,0,5,38,92.5,86,98,97,91,84,98,64,78,88,.,74,95,85.7,13.3,.,20.4,94,57,2,3,3,60,10,23,87685,61362,47896,42306,2,5.9,9.8,17.7,14.4,11.6,16,0,0,100,0,80,6,3,0,11,1,256055,1.160000,6613045,11402,61,32,7,2780904,48,6521270,6003236,10350,57,7,5,11,20,3413045,5885,58,9,17,0,8,0,8,0
St Mary's Academy Charter,013801,013 BEE,02,EX,1,319,4,77,17,2,77.7,0,10,0,0,0,96.5,.,.,0,.,93,97,98,96,.,.,83,93,92,.,94,.,.,.,.,.,54,20,2,3,7,37,29,22,54787,42544,46578,37171,47,5.9,15.9,37.3,14.6,24.1,12.5,0,25,70,5,90,10,0,0,0,0,0,0.000000,3031382,10138,82,4,15,275796,11,2747075,2741785,9170,54,16,5,13,13,1482244,4957,67,10,23,0,0,0,0,0
Beeville,013901,013 BEE,02,AU,7,3540,3,78,19,1,67.7,3,9,2,21,8,94.7,0,19.3,212,75,61,88,91,69,67,88,63,59,70,94,56,84,63.2,12.6,1024,18,499,231,1,3,7,46,0,43,89145,67882,53961,43858,58,7.1,15.3,25.4,13.7,18.1,12.9,2,33,65,0,91,9,0,0,0,0,152426,1.305000,33089167,9308,61,23,16,6451050,26,32499809,28875969,8123,57,7,5,11,20,16578991,4664,59,13,17,0,4,1,4,3
