SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT08R,DA0708DR08R,DADC408R,DA0GR08N,DAGC408R,DA311TA09R,DA311TR09R,DA311TW09R,DA311TM09R,DA311TC09R,DA311TS09R,DB311TA09R,DH311TA09R,DW311TA09R,DO311TA09R,DE311TA09R,DACTA09R,DA0CT08R,DA0CC08R,DA0CS08R,DA0CA08R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Hunt,133902,133 KERR,20,RE,1,214,0,23,76,1,34.1,9,6,9,0,3,96.5,0,.,0,.,74,93,97,83,77,92,.,48,85,.,47,.,.,.,.,.,36,19,5,5,13,52,5,19,68463,61444,35764,45053,19,5.9,11.5,26.8,16,27.4,12.4,0,11,89,0,87,4,4,5,0,0,1263485,1.040000,2654473,12949,21,75,4,1066862,33,2692695,2335292,11392,55,11,6,9,19,1286704,6277,76,5,9,5,0,1,5,0
Kerrville,133903,133 KERR,20,RE,10,4765,4,43,52,2,51.3,5,9,5,22,6,94.9,0,2.3,284,79.4,86,97,98,90,90,98,78,80,92,92,80,91,65.6,32,1026,21.1,705,341,0,3,6,48,13,29,117823,69384,55498,48610,21,6.8,14,27.1,13,24.7,10.8,1,6,94,0,87,7,0,1,3,1,441401,1.180000,45204208,9523,35,54,11,5232857,15,45777748,39689528,8361,58,8,5,12,17,23070857,4860,63,14,13,3,3,1,3,1
Ingram,133904,133 KERR,20,AA,3,1280,1,34,62,2,58.9,9,9,9,34,5,95,0,5.9,102,85.7,74,93,91,83,78,97,60,63,81,76,66,83,76.3,25.4,950,22.1,210,109,2,3,5,52,8,30,69110,66907,42319,43186,8,6.1,11.8,24,13.7,14.8,23.5,0,4,96,0,76,8,4,2,6,4,313383,1.119000,12564581,9185,50,40,10,2221535,21,15127668,11995993,8769,54,9,6,11,20,6520644,4767,66,14,7,2,6,1,6,0
Divide,133905,133 KERR,20,EX,1,16,0,13,88,0,0,0,0,0,0,0,97,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,2,3,0,0,42,55,0,78304,.,.,61290,0,3.6,8.6,0,15.5,0,0,0,0,100,0,89,0,11,0,0,0,3372952,0.772000,531411,35427,26,71,3,1498928,246,416617,278067,18538,68,13,8,4,6,189617,12641,100,0,0,0,0,0,0,0
Junction,134901,134 KIMBLE,15,RE,3,665,1,36,63,0,52.5,2,11,2,37,8,96.5,0,0,48,100,75,96,96,81,84,97,.,61,83,.,70,81,75.6,12.9,910,19.9,106,58,2,3,5,55,14,21,69300,59167,45946,42646,14,6.3,11.4,17.9,13.9,13.7,20.5,0,5,95,0,79,6,4,1,5,4,411266,0.950000,6505479,9932,50,41,9,474297,8,6505537,6371749,9728,58,9,5,12,16,3680706,5619,63,12,13,0,5,0,6,0
Guthrie CSD,135001,135 KING,17,EX,1,95,0,14,86,0,18.9,0,15,0,33,3,96.7,0,0,8,100,91,98,.,94,89,.,.,86,92,.,.,100,28.6,.,.,.,34,19,3,1,2,56,3,34,87771,64206,65708,51704,6,2.8,5.1,10.7,17.1,22.6,22.2,0,5,95,0,87,0,0,0,13,0,3261169,1.200000,7713743,83845,28,71,1,2715953,68,4877451,2730357,29678,48,11,2,20,18,1318065,14327,74,4,6,1,11,0,5,0
Brackett,136901,136 KINNEY,20,RE,4,593,1,70,29,0,64.1,9,11,8,23,9,96.2,0,7,40,90.7,72,92,99,80,81,90,80,64,93,.,64,81,76.5,23.1,954,20.4,107,53,1,1,6,50,0,41,51460,57186,46628,41139,41,5.6,11.2,37.8,12.3,16.6,33.4,0,19,81,0,92,6,0,2,0,0,251718,1.040000,6900729,11540,67,24,9,4304523,71,6273132,5832470,9753,59,9,3,11,17,3446007,5763,55,11,22,1,5,0,6,0
Kingsville,137901,137 KLEBERG,02,AU,9,3972,4,83,11,1,74.9,6,10,5,17,6,93.9,0,15.8,232,68.5,57,85,91,64,66,83,42,55,71,78,52,87,66,11.6,900,19,621,265,1,3,9,43,14,29,73138,57085,44958,42021,82,6.4,15,28.9,14,28.5,13.9,2,72,25,0,75,9,3,5,4,4,174585,1.339000,42386684,10276,53,32,15,6333764,21,41647879,35923091,8709,54,8,5,14,20,19245813,4666,54,20,17,0,3,1,3,2
Ricardo,137902,137 KLEBERG,02,RE,2,643,1,75,23,1,55.7,7,6,6,0,7,97.2,0,.,0,.,82,93,98,89,86,96,.,76,96,.,70,.,.,.,.,.,86,41,2,2,8,48,7,33,80242,65358,47114,46336,69,7.5,15.7,17.1,16.1,26.7,5,0,64,36,0,93,4,2,0,0,0,211554,1.170000,5697882,9341,61,30,9,1050974,20,4768030,4753229,7792,56,7,3,12,21,2652863,4349,47,12,32,1,0,7,1,0
Riviera,137903,137 KLEBERG,02,AA,3,502,0,64,36,1,52.6,2,10,2,48,6,96,0,17.4,35,78.3,76,93,96,83,75,91,.,68,89,.,67,84,60.6,20,966,19.3,90,49,2,4,8,54,0,32,72350,58731,44524,41497,51,5.6,10.2,35.2,12.1,12.5,20.2,0,49,51,0,85,4,2,0,9,0,686456,1.040000,6282705,12770,43,49,8,1700301,31,5624591,5494439,11168,54,9,4,13,20,2980826,6059,58,10,15,0,9,1,7,0
Santa Gertrudis,137904,137 KLEBERG,02,RE,2,375,2,70,28,0,38.4,1,6,1,42,13,95.5,0,12.2,40,83.7,76,96,.,79,83,92,.,70,87,.,65,83,78.4,13.8,921,18.7,71,40,1,1,14,56,6,22,93873,63588,51595,46111,54,5.2,9.4,32.5,12.9,27.5,25.6,5,40,55,0,92,0,0,0,8,0,473779,1.334000,6554789,18107,36,61,3,1514570,27,6949958,5651437,15612,54,9,7,10,21,3040839,8400,71,7,10,0,5,0,6,1
Knox City-O'Brien Cons,138902,138 KNOX,09,AA,3,276,9,36,55,0,65.9,8,12,8,25,6,95.7,0,11.8,15,88.2,65,91,94,79,60,85,38,51,78,.,56,83,50,14.3,.,21,65,33,2,4,4,51,12,27,73500,51544,47864,38055,17,4.2,8.3,35.9,12.4,4,33,0,0,100,0,82,7,4,0,7,0,270291,1.230000,3972199,13938,58,26,16,656796,21,3824937,3610752,12669,58,11,5,11,17,2076601,7286,52,27,12,0,4,0,4,0
Munday Cons,138903,138 KNOX,09,AU,3,405,15,44,42,0,63,8,9,8,27,9,96.4,0,6.1,34,93.9,64,86,86,76,67,91,29,59,81,.,56,90,80.8,4.8,.,18.5,72,39,1,4,4,54,13,24,89000,50651,42764,39030,16,5.6,10.4,25.3,13.8,0,22.2,3,0,97,0,77,10,6,2,4,0,113795,1.170000,4632731,11553,72,16,12,993665,25,4418012,4236276,10564,57,6,6,14,17,2394487,5971,49,12,27,1,6,0,6,0
Benjamin,138904,138 KNOX,09,EX,1,81,0,19,82,0,65.4,5,14,5,28,11,96.1,0,0,12,100,90,98,.,95,91,.,.,88,91,.,86,100,54.5,0,.,20,17,12,6,1,1,69,6,18,72100,38840,55584,37610,6,4.8,7,8.6,16.4,2.4,16.7,0,0,100,0,84,1,3,0,12,0,313263,1.170000,1093145,14575,60,31,9,.,.,1198707,1198557,15981,55,16,2,9,18,661267,8817,65,7,11,0,7,0,10,0
Chisum,139905,139 LAMAR,08,AA,3,900,7,5,86,2,42,4,11,4,27,4,96,0,11.1,6,55.6,76,95,96,83,81,96,38,80,79,90,70,88,.,27.3,.,20.7,137,75,1,3,4,55,12,26,91739,68907,47077,40293,7,6.6,12,24,14,12,5.4,3,0,97,0,85,4,4,1,7,0,648901,1.240000,8963650,10128,26,70,5,3884247,46,8327486,7192540,8127,56,8,7,10,19,4047883,4574,65,11,14,1,5,0,4,0
Roxton,139908,139 LAMAR,08,AA,2,217,19,6,75,1,50.7,0,12,0,41,7,96.4,0,5,17,85,64,90,85,78,65,90,44,80,69,.,61,84,78.6,9.1,.,19.1,40,24,3,3,3,60,9,23,72502,69407,23642,38039,12,5.5,9.1,33.7,13.9,22,9.2,4,0,96,0,79,7,5,0,9,0,185845,1.164000,2619129,11388,71,18,11,483479,24,2681127,2305207,10023,54,11,5,14,16,1251920,5443,63,8,17,0,8,0,4,0
Paris,139909,139 LAMAR,08,AU,7,3794,39,12,47,2,72.1,6,12,5,20,10,95.3,0.4,19.2,193,73.7,67,89,85,76,72,91,53,69,78,67,58,85,53.9,28.9,1072,19.8,607,308,1,4,9,51,14,21,85503,58630,44858,40186,22,6.3,12.3,25.3,14.3,24.5,10.9,11,4,85,1,59,11,13,3,4,11,176705,1.445000,36958997,9635,54,31,15,2396343,10,38072863,33126192,8636,59,6,4,10,21,19381521,5053,61,15,14,0,4,1,3,2
North Lamar,139911,139 LAMAR,08,RE,6,2973,5,5,86,4,35.5,2,13,2,27,7,96.6,0,1.8,217,94.2,81,96,90,89,83,96,55,71,83,84,75,89,50.3,31.9,1001,21.4,477,254,1,2,6,53,17,21,82515,63825,48417,40457,6,6.2,11.7,27.2,13.7,11.9,7.7,2,0,98,0,73,13,2,1,6,5,270876,1.158000,29119524,9399,50,42,9,5568656,26,27441997,24307813,7846,59,8,4,11,19,14248331,4599,55,27,8,0,5,1,3,1
Prairiland,139912,139 LAMAR,08,AA,4,1125,1,7,90,2,51.8,2,12,2,42,9,96,0,8.6,66,80.2,81,97,96,86,84,97,.,73,81,90,76,94,51.8,44.8,.,23,137,79,1,4,3,58,10,24,92626,60517,51373,41710,2,8.2,14.2,18.5,14.4,6.9,10.4,0,3,96,1,73,6,6,2,8,5,119490,1.190000,10853414,9966,71,23,6,162384,2,10110278,8164342,7497,60,6,7,10,18,4876782,4478,64,12,11,0,8,0,5,0
Amherst,140901,140 LAMB,17,AA,2,159,6,74,20,0,85.5,17,15,17,23,4,95,0,6.7,14,80,44,78,95,61,53,80,44,38,68,.,43,56,23.1,.,.,.,33,19,3,3,3,58,12,21,74968,65048,34986,36740,24,4.8,8.4,52.6,10.4,5.3,36.8,0,21,79,0,83,5,0,3,9,0,259717,1.040000,1768163,11867,65,23,12,483264,32,1828234,1740364,11680,61,11,5,9,14,1066398,7157,62,7,18,2,7,1,3,0
Littlefield,140904,140 LAMB,17,AA,4,1460,8,64,28,0,73.8,6,11,6,15,6,95,0.4,11.6,88,88.4,73,91,98,80,72,89,80,66,86,.,68,87,60.8,17.8,.,20,197,99,2,3,4,50,19,22,94107,62398,51422,42265,34,7.4,14.7,26.2,14.4,13.1,16.1,1,11,88,0,78,6,9,0,5,3,143140,1.040000,13985028,9117,64,22,14,5481357,58,11857257,11639653,7588,61,7,5,10,17,7037157,4587,54,18,19,0,6,0,4,0
Olton,140905,140 LAMB,17,AA,3,722,2,75,23,1,73.8,17,14,17,19,9,95.1,0,9.7,57,87.1,71,90,96,81,68,88,83,63,93,.,63,70,60,20,1002,19.8,135,69,1,1,2,51,18,26,73912,65000,44403,38354,32,5.3,10.5,32.1,10.3,11.7,23.2,0,12,88,0,81,7,4,0,6,1,154318,1.100000,7904509,11086,68,18,14,953427,13,8870187,7432688,10425,54,7,5,13,21,3998082,5607,55,10,21,2,5,1,5,1
Springlake-Earth,140907,140 LAMB,17,AA,3,407,4,61,35,0,67.3,13,10,13,28,10,96.3,0,4.2,22,91.7,71,90,92,81,74,95,60,57,88,.,55,85,.,23.5,.,19,52,35,2,4,4,67,19,4,74000,53750,51428,41658,15,7.8,11.6,17.1,14.3,14.3,18.9,0,9,91,0,81,6,5,0,9,0,158505,1.040000,4266255,11530,66,21,12,693807,16,4277534,3889576,10512,58,6,4,14,17,2256056,6097,53,9,24,1,7,2,4,0
Sudan,140908,140 LAMB,17,RE,3,371,6,49,46,0,62.5,7,10,7,30,6,96,0,0,31,100,82,96,98,87,84,98,70,75,90,.,80,87,80.8,9.5,.,19.1,68,40,3,3,4,58,7,24,71677,69750,41306,45215,17,5.5,9.4,21.5,15.4,20.3,20,0,5,95,0,84,2,0,2,11,0,931751,1.041000,5372344,14213,36,58,6,1977746,35,5398401,4937297,13062,51,12,6,11,21,2494283,6599,61,10,13,0,6,0,7,2
Lampasas,141901,141 LAMPASAS,12,AA,4,3315,4,22,71,3,47.6,3,11,3,32,4,95.6,0,7.7,235,85.4,75,93,92,81,80,95,59,63,79,70,66,82,53.4,25.2,979,21.5,473,222,1,3,4,47,14,31,93738,70465,52366,43803,11,7,14.9,26.1,13.6,12.6,14.8,0,3,95,2,70,11,8,1,5,5,274407,1.500000,36375635,10538,47,44,8,9821620,40,44611805,26093728,7559,55,7,5,11,22,14425295,4179,58,17,13,0,6,1,5,1
Lometa,141902,141 LAMPASAS,12,AA,1,328,2,44,53,1,77.7,6,13,6,41,10,96,0,8.7,20,91.3,64,90,.,75,68,92,.,51,74,.,57,83,66.7,10,993,17.6,64,29,2,2,3,45,35,12,74901,62500,46778,40190,12,5.1,11.3,27.5,14.9,15.9,11.2,3,3,93,0,75,9,2,0,10,4,232570,1.040000,3937366,12266,57,22,21,1206799,36,3903945,3547341,11051,66,5,3,10,17,2323533,7238,37,14,39,1,5,1,3,0
Cotulla,142901,142 LA SALLE,20,AU,4,1196,0,93,7,0,81.4,13,9,13,21,11,94.4,0,23.5,63,70.6,50,82,87,62,54,76,.,49,72,.,46,62,76.5,5.1,890,17.1,206,89,2,4,7,43,12,32,79111,61043,55637,44284,77,5.8,13.4,34.5,11.5,10.1,24.2,2,58,39,1,89,7,0,0,3,1,341300,1.492000,16263980,13342,42,49,9,1833933,13,18214783,13688075,11229,49,10,6,11,23,6708648,5503,65,10,16,2,2,0,5,0
Hallettsville,143901,143 LAVACA,03,RE,5,859,13,13,73,0,36.2,1,13,1,37,7,96.2,0,2.5,75,92.6,78,94,95,87,83,98,56,60,84,.,66,99,74.6,28,1001,20.1,150,76,1,3,4,50,14,27,88000,59197,51422,42222,12,5.7,11.3,17.2,15.3,11.2,12.4,0,1,99,0,77,4,5,0,7,6,959312,0.982000,11594860,13266,39,57,4,3515967,30,9721838,8556032,9790,59,7,5,10,19,5078891,5811,64,12,11,0,6,0,5,1
Moulton,143902,143 LAVACA,03,RE,2,304,0,30,70,0,56.3,4,14,4,31,4,97.4,0,8,22,84,82,97,97,86,86,.,.,77,85,.,78,80,65,23.1,1064,.,49,29,2,4,3,58,4,29,72500,57500,46942,41044,10,6.2,10.7,15.8,16,3.5,13.6,0,7,93,0,81,9,0,4,6,1,252410,1.070000,3189000,10595,67,28,5,769497,29,2849965,2754346,9151,61,8,5,9,18,1679170,5579,71,11,9,2,4,1,3,0
Shiner,143903,143 LAVACA,03,RE,3,569,15,12,73,1,36.6,3,13,3,46,7,97.1,0,0,51,100,82,94,98,89,89,96,59,68,89,.,70,90,75.6,26.5,966,21.4,75,42,1,4,3,56,12,24,76500,63550,37642,40970,13,7.6,13.6,23.8,14.2,10.6,13.4,2,2,95,0,82,6,0,0,12,0,330093,1.040000,5412941,9349,56,40,4,1518816,32,4966799,4010969,6927,58,7,5,11,19,2326448,4018,57,21,9,0,6,1,6,0
Vysehrad,143904,143 LAVACA,03,RE,1,92,3,8,85,4,28.3,0,12,0,0,0,97.3,0,.,0,.,92,.,.,95,88,86,.,.,91,.,89,.,.,.,.,.,16,10,2,0,0,58,18,21,58880,.,29907,42651,6,5.6,9.6,10.4,15.3,27,0,10,0,90,0,94,6,0,0,0,0,650606,0.940000,1086405,11200,44,52,4,373195,41,991400,855080,8815,68,8,5,5,13,582151,6002,68,17,14,0,0,1,0,0
Sweet Home,143905,143 LAVACA,03,EX,2,120,1,18,82,0,25,0,5,0,0,10,97.1,0,.,0,.,78,92,95,86,91,.,.,75,79,.,60,.,.,.,.,.,18,8,4,0,1,45,27,23,67500,.,20665,40077,0,6.5,14.6,26.8,13.6,12.2,12.2,0,0,100,0,100,0,0,0,0,0,644985,1.040000,1076942,10355,49,46,5,348380,38,824277,797999,7673,60,12,5,7,16,480941,4624,72,13,8,0,0,8,0,0
Ezzell,143906,143 LAVACA,03,EX,1,68,2,3,96,0,30.9,0,18,0,0,9,96.1,0,.,0,.,92,94,.,97,94,.,.,.,92,.,78,.,.,.,.,.,17,8,5,0,0,47,17,31,63500,.,.,37803,0,3.9,8.4,37.2,11.3,0.9,16.2,0,0,100,0,88,12,0,0,0,0,2236739,0.971000,972650,12008,13,78,8,227790,14,851595,844442,10425,55,18,3,7,17,467532,5772,72,14,14,0,0,1,0,0
Giddings,144901,144 LEE,13,AA,4,1874,15,46,38,1,59.8,13,8,13,18,4,95.8,0.3,2.4,118,92.8,69,88,88,77,75,97,49,63,82,86,57,94,63.6,27.1,994,20.5,276,143,1,3,6,52,11,26,88091,57820,47487,43583,23,6.8,13.1,27.9,14.7,18.8,11.9,3,9,87,0,86,6,2,1,4,1,400039,1.450000,23024820,12459,35,55,9,4944933,35,25891750,16220184,8777,57,9,4,9,21,9306006,5036,59,19,10,4,3,1,5,0
Lexington,144902,144 LEE,13,RE,3,961,12,12,76,0,46.5,3,9,3,30,8,95.5,0,6.9,64,87.5,78,92,96,85,81,90,54,70,82,.,69,85,67.8,25,979,22.8,160,88,2,3,3,55,11,26,69603,52991,47323,40943,7,6,10.9,29,12.9,14.1,11.8,0,2,98,0,75,8,5,0,7,4,325436,1.114000,9848287,10019,56,37,8,2650013,32,9533982,8453478,8600,57,7,5,10,22,4786689,4869,59,13,12,1,7,2,6,0
Dime Box,144903,144 LEE,13,AA,1,168,30,32,37,1,69,10,17,10,22,2,95,0,0,18,100,70,86,83,83,67,90,48,66,94,.,62,100,50,25,959,.,38,19,5,0,4,50,18,23,58679,60500,25311,39742,19,4.4,8.8,51.6,8.5,16.9,15.8,5,5,90,0,81,8,5,0,5,0,907683,1.040000,2437017,15231,23,68,10,408912,18,2430393,2370615,14816,54,10,4,14,17,1289717,8061,51,16,21,2,7,1,3,0
Buffalo,145901,145 LEON,06,AA,3,830,7,34,58,1,52.4,19,10,19,30,9,95.6,0,0,43,89.1,69,93,89,80,76,95,34,59,77,86,56,86,43.8,21.4,942,20.9,133,69,2,4,2,52,13,28,75466,59080,48467,40429,19,6.3,12,20.3,13.5,23.3,17.6,1,1,97,0,77,5,0,6,8,3,727655,1.241000,9663692,12279,34,59,7,3011535,42,9603688,6865517,8724,58,8,6,11,18,3986556,5066,59,9,16,3,5,1,6,1
Centerville,145902,145 LEON,06,RE,2,701,10,11,79,1,37.4,3,12,3,31,5,96.1,0,3.3,54,91.7,74,91,84,81,82,95,57,64,77,.,62,83,74.5,5.7,893,19.5,121,63,2,2,5,52,11,28,73500,60167,45026,40213,14,5.8,11.1,25.7,12.8,15.4,12,8,3,89,0,72,11,4,2,8,3,403228,1.040000,8110048,11233,52,36,12,3037573,47,7746968,7248136,10039,56,6,4,13,20,4065744,5631,47,28,10,1,6,3,4,0
Normangee,145906,145 LEON,06,RE,3,539,7,8,84,1,46.4,2,9,2,27,3,95.1,0,4.7,39,90.7,74,92,89,83,76,91,39,67,76,.,66,91,78.9,16.7,936,19.5,93,45,2,5,2,48,12,30,73575,59918,35377,39428,6,5.8,12,26.7,12.1,6.7,29.2,2,0,98,0,84,3,0,0,11,2,323212,1.440000,5444038,10157,43,52,5,1039641,23,8041804,4689764,8750,57,7,7,13,17,2676271,4993,70,10,9,0,6,0,5,0
Oakwood,145907,145 LEON,06,AA,2,227,41,11,48,0,74,1,12,1,35,9,95.8,0,20,12,80,62,90,.,74,66,88,53,69,69,.,58,86,55.6,0,.,.,40,22,3,5,2,54,12,22,56499,42699,26704,44783,22,5.6,10.3,22.8,13,4.6,29.3,16,0,84,0,82,5,5,0,7,0,729781,1.040000,2635291,11166,34,56,10,546735,21,3071333,2891630,12253,52,9,7,10,22,1503014,6369,66,10,12,0,2,0,10,0
Leon,145911,145 LEON,06,RE,3,713,3,21,73,2,48.2,8,11,8,29,7,95.9,0,10.5,50,87.7,73,94,88,79,80,95,53,60,76,93,64,88,59.1,15.4,927,19.4,122,65,0,2,4,53,11,28,76042,63415,54405,39953,11,5.8,10.9,26.6,12.8,12,16,3,3,91,3,74,9,8,1,7,2,1995477,1.031000,12434117,17080,46,50,4,419247,3,7903288,7394778,10158,56,5,5,13,22,4125048,5666,68,8,12,0,4,1,5,0
Cleveland,146901,146 LIBERTY,04,AA,7,3649,13,35,51,1,68.5,17,9,19,15,3,94.9,0,13.6,124,68.4,59,84,84,70,66,94,46,54,65,88,55,83,86.7,8.8,862,17.8,497,241,1,4,5,48,10,31,97531,67793,49706,45784,30,7.3,15.2,53.1,8.8,10.4,24.4,12,11,76,2,70,9,2,10,6,4,183766,1.315000,32750390,9315,63,29,9,5960109,21,31152410,27970166,7955,57,4,6,12,20,16036755,4561,48,16,23,4,5,1,3,1
Dayton,146902,146 LIBERTY,04,AU,9,4748,10,23,66,1,50.7,9,8,9,29,4,94.6,0.9,16.8,271,77.4,67,89,87,76,73,89,57,61,70,81,61,79,49.8,16.8,941,18.4,646,303,2,3,8,47,12,30,83998,64788,49278,44437,22,7.4,15.7,39.7,10.3,16.7,17.2,4,8,85,2,68,8,6,5,5,8,285032,1.208000,42052152,8672,50,41,8,5914110,16,41759152,36352200,7497,55,6,5,13,21,19913944,4107,57,15,10,5,6,2,4,1
Devers,146903,146 LIBERTY,04,EX,2,146,3,29,68,0,52.7,8,7,8,4,10,96.6,0,.,0,.,87,.,.,92,86,90,40,90,90,.,88,.,.,.,.,.,36,17,3,3,3,47,0,44,100000,78000,35200,57023,3,4,8.5,11.7,18.7,26.3,6.2,0,0,100,0,85,5,7,3,0,0,2615022,1.003000,2112017,15304,29,66,5,869863,16,3117473,2654498,19235,51,18,6,12,13,1351730,9795,74,7,8,4,2,4,2,0
Hardin,146904,146 LIBERTY,04,AA,5,1211,3,9,87,0,54.7,3,8,3,24,2,93.9,0,11.5,75,83.9,64,89,90,74,71,85,39,66,65,.,58,85,57.4,15.4,943,22.9,181,92,1,4,4,51,9,30,86981,63490,53045,44475,7,6.7,13.2,31.7,14.1,10.9,17.7,3,1,96,0,85,4,3,0,6,2,192223,1.253000,11382464,9135,60,31,8,2390436,25,19074541,9666722,7758,52,9,6,13,20,5028061,4035,62,11,17,0,4,0,5,1
Hull-Daisetta,146905,146 LIBERTY,04,AA,3,503,18,3,79,0,63.6,0,12,0,28,6,94.3,0,16.3,36,75.5,57,89,75,68,67,84,44,78,60,.,55,85,78.8,3.8,852,19.8,100,48,1,3,6,48,21,22,89000,65550,50309,42527,17,5,10.5,39.5,12,10.6,23.8,12,2,85,0,85,4,4,0,8,0,509464,1.234000,6697962,12047,48,46,7,429779,8,6676636,6141133,11045,55,8,4,14,19,3350708,6026,60,12,17,0,7,0,4,1
Liberty,146906,146 LIBERTY,04,AA,5,2244,21,25,53,1,57.2,12,7,11,26,8,95.2,0,3.4,145,86.6,67,88,92,74,74,90,53,61,73,89,56,80,56.5,21.8,917,20.2,377,179,1,3,5,47,15,29,84619,64868,51710,44922,21,5.9,12.5,30.4,14.6,15.8,16.6,5,6,87,2,71,8,3,7,4,6,358906,1.195000,25652863,11291,36,49,15,5422576,32,23371458,21051561,9266,54,9,5,10,22,11446307,5038,48,26,14,1,3,1,4,4
Tarkington,146907,146 LIBERTY,04,AA,4,1925,1,5,93,1,38.3,1,8,1,25,4,95,0,1.5,129,93.4,70,91,91,79,74,94,62,58,71,56,62,84,50,22,986,20.4,271,142,1,3,3,52,14,26,74441,62826,52596,44320,2,7.1,13.5,34.5,11.3,15.3,23.1,0,2,97,1,86,5,1,0,5,2,175034,1.140000,15098049,7598,64,30,6,2431672,18,15164324,13945225,7018,60,6,4,12,17,8369989,4212,71,11,8,0,5,0,3,1
Coolidge,147901,147 LIMESTONE,12,RE,2,273,22,49,29,0,85,21,13,20,12,3,96.8,0,0,17,93.3,73,93,90,83,78,92,59,77,78,.,71,69,75,11.1,.,17.7,60,31,2,5,4,52,14,23,87275,72200,50091,38549,18,4.6,8.8,35.5,11.1,12.9,26.1,10,3,87,0,84,7,0,5,4,0,113783,1.194000,3726514,12463,72,13,15,234576,7,3676593,3315895,11090,60,7,7,12,14,1981302,6626,51,12,28,1,4,0,5,0
Groesbeck,147902,147 LIMESTONE,12,AA,5,1548,14,18,68,1,47.9,5,13,4,23,7,94.4,0,0,98,93.1,77,92,95,85,80,96,63,68,81,60,72,91,61.2,17.3,1013,20.1,256,124,1,3,5,48,11,31,99605,69470,51972,46961,17,6,12.5,19.4,14.4,21.6,17.1,5,3,92,0,86,7,1,0,4,2,1470243,1.010000,18176338,12142,31,62,7,11840620,41,16415932,15264312,10197,51,8,5,14,22,7736727,5168,58,19,8,1,3,2,5,4
Mexia,147903,147 LIMESTONE,12,AA,6,2211,34,31,34,1,69.5,9,16,8,19,5,94.7,0,15.9,120,68.8,66,90,91,76,68,89,52,64,79,92,61,85,69.6,19.7,1037,19.8,367,174,1,3,5,47,15,29,80249,66492,53686,42926,27,6,12.7,50,10,10.3,17.6,8,7,84,0,78,14,1,0,4,2,177810,1.097000,20753271,9446,67,21,12,2304545,12,21136717,19989326,9098,58,6,5,15,17,11542063,5254,52,21,16,1,3,2,4,2
Booker,148901,148 LIPSCOMB,16,AA,2,388,1,59,39,1,56.2,22,9,22,26,9,97.5,0,3.4,29,96.6,79,95,98,91,72,93,.,73,87,.,77,100,75,16.7,.,19.3,71,39,1,3,4,54,11,26,80850,65500,53495,43445,26,5.4,10.1,26,14.2,15.6,10,0,3,97,0,82,8,0,5,5,0,633311,1.120000,4729460,13101,40,52,8,966931,25,4743246,4057704,11240,62,9,5,10,13,2510860,6955,66,9,12,1,6,0,5,0
Follett,148902,148 LIPSCOMB,16,RE,1,170,0,17,79,4,56.5,9,10,9,26,12,96.1,0,11.1,16,88.9,79,90,87,92,80,88,.,43,83,.,68,100,93.3,14.3,.,20.6,36,20,5,3,5,54,7,25,60060,63000,51903,43653,8,4.7,8.7,25.5,13.9,13.3,5.1,0,0,100,0,80,10,5,0,5,0,1626594,1.090000,2986865,16875,35,61,5,1784970,46,2841754,2419152,13668,52,10,2,13,22,1264062,7142,60,8,14,1,7,0,11,0
Higgins,148903,148 LIPSCOMB,16,AA,1,97,0,12,88,0,50.5,1,16,1,40,4,94.8,0,0,6,100,45,80,75,65,48,79,.,.,47,.,45,100,.,.,.,.,29,18,1,0,0,60,7,32,67000,.,.,41873,0,3.3,5.5,33.8,13.6,15.4,17.6,0,0,100,0,84,1,5,0,10,1,2922647,1.040000,2956637,29274,28,69,3,1754002,48,2732187,1666308,16498,60,11,2,14,12,1004923,9950,69,9,11,0,9,1,0,0
