DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,ASIAN,AMERICAN INDIAN OR ALASKA NAT,NATIVE HAWAIIAN/OTHER PACIFIC,HISPANIC/LATINO,BLACK OR AFRICAN AMERICAN,TWO OR MORE RACES,Special Education,WHITE,Economic Disadvantage
POR VIDA ACADEMY,20,352,3.4,87.2,7.7,0.0,0.6,0.0,1.1,63.6,9.9,2,0,0,306,11,3,34,27,223
GEORGE GERVIN ACADEMY,20,1122,31.2,63.7,3.7,0.0,0.4,0.1,0.9,99.8,4.9,4,0,1,714,350,10,54,41,1119
HIGGS CARTER KING GIFTED & TALENTE,20,469,13.9,82.1,2.3,0.4,0.0,0.2,1.1,98.7,3.6,0,1,0,385,65,5,16,10,462
NEW FRONTIERS CHARTER SCHOOL,20,675,1.6,95.3,3.0,0.0,0.0,0.0,0.1,84.9,8.1,0,0,0,643,10,0,54,20,573
SCHOOL OF EXCELLENCE IN EDUCATION,20,1115,30.3,63.7,3.5,0.1,0.1,0.4,2.0,93.6,6.8,1,1,4,710,337,22,75,39,1043
SOUTHWEST PREPARATORY SCHOOL,20,898,13.8,78.5,5.9,0.0,0.1,0.1,1.6,80.3,11.1,0,0,0,704,123,14,99,52,721
JOHN H WOOD JR PUBLIC CHARTER DIST,20,773,14.6,41.0,41.0,0.8,0.1,0.0,2.5,82.3,34.9,0,6,0,316,112,19,269,316,636
BEXAR COUNTY ACADEMY,20,432,2.1,92.8,4.6,0.0,0.2,0.0,0.2,85.0,11.8,0,0,0,400,9,0,50,19,367
POSITIVE SOLUTIONS CHARTER SCHOOL,20,172,1.2,97.7,0.6,0.0,0.0,0.0,0.6,93.0,10.5,0,0,0,168,2,1,18,1,159
RADIANCE ACADEMY OF LEARNING,20,579,9.3,71.3,9.8,0.2,6.6,0.2,2.6,67.2,6.2,38,1,1,412,53,15,35,56,389
ACADEMY OF CAREERS AND TECHNOLOGIE,20,221,14.9,73.3,9.5,1.4,0.0,0.0,0.9,36.7,4.5,0,3,0,161,32,1,9,20,81
SHEKINAH RADIANCE ACADEMY,20,749,37.1,29.8,27.4,0.5,0.4,0.0,4.8,70.2,7.5,2,3,0,223,277,35,56,205,525
SAN ANTONIO SCHOOL FOR INQUIRY & C,20,426,4.7,81.2,12.4,0.0,0.0,0.5,1.2,87.6,15.3,0,0,2,345,20,5,65,52,373
JUBILEE ACADEMIC CENTER,20,4251,7.6,79.7,9.6,0.0,1.1,0.0,1.9,69.8,6.2,46,0,0,3388,323,80,263,408,2967
SAN ANTONIO TECHNOLOGY ACADEMY,20,57,3.5,94.7,1.8,0.0,0.0,0.0,0.0,96.5,10.5,0,0,0,53,1,0,5,1,55
LIGHTHOUSE CHARTER SCHOOL,20,262,5.3,92.0,2.3,0.0,0.0,0.0,0.4,88.5,8.4,0,0,0,241,13,1,22,6,231
KIPP SAN ANTONIO,20,1920,2.8,94.6,2.1,0.0,0.1,0.0,0.4,85.6,7.8,1,0,0,1816,53,7,149,40,1643
SCHOOL OF SCIENCE AND TECHNOLOGY,20,844,12.8,53.4,24.3,0.2,3.8,0.0,5.5,57.1,7.0,32,1,0,450,108,46,59,205,481
HARMONY SCIENCE ACAD (SAN ANTONIO),20,3150,7.4,80.3,9.0,0.2,1.9,0.1,1.2,68.2,5.0,59,6,3,2529,233,37,157,283,2148
BROOKS ACADEMY OF SCIENCE AND ENGI,20,1776,2.3,89.0,7.4,0.2,0.7,0.1,0.3,69.0,4.1,12,3,1,1580,40,5,72,131,1225
SCHOOL OF SCIENCE AND TECHNOLOGY D,20,1082,7.0,71.0,16.5,0.1,4.6,0.0,0.8,62.1,6.7,49,1,0,768,75,8,72,178,671
CITY CENTER HEALTH CAREERS,20,111,4.5,94.6,0.0,0.0,0.0,0.0,0.9,87.4,9.0,0,0,0,105,4,0,9,0,97
HENRY FORD ACADEMY ALAMEDA SCHOOL,20,158,0.6,82.3,13.3,1.9,0.0,0.6,1.3,68.4,12.7,0,3,0,130,0,2,20,21,108
BASIS TEXAS,20,1052,3.1,32.9,30.5,0.2,27.0,0.1,6.2,0.0,0.0,284,2,1,346,32,65,0,320,0
GREAT HEARTS TEXAS,20,572,3.1,36.5,52.6,0.0,5.6,0.0,2.1,14.0,3.5,32,0,0,208,17,12,20,300,80
ELEANOR KOLITZ HEBREW LANGUAGE ACA,20,258,1.2,50.4,42.6,0.0,1.2,0.4,4.3,19.0,2.7,3,0,1,130,3,11,6,109,49
ALAMO HEIGHTS ISD,20,4760,1.2,40.3,54.2,0.4,2.4,0.0,1.6,20.6,7.0,114,19,0,1918,57,76,333,2579,980
HARLANDALE ISD,20,15270,0.4,97.4,1.9,0.1,0.1,0.0,0.1,88.4,9.3,15,15,0,14872,61,15,1420,290,13498
EDGEWOOD ISD,20,11726,1.2,98.0,0.5,0.0,0.1,0.0,0.1,94.1,9.2,11,0,0,11491,140,11,1078,58,11034
RANDOLPH FIELD ISD,20,1293,19.3,22.2,43.6,0.2,3.4,1.0,10.3,9.0,5.6,43,2,12,287,249,133,72,563,116
SAN ANTONIO ISD,20,53701,6.4,91.0,1.8,0.1,0.2,0.0,0.4,91.6,10.3,107,53,0,48867,3436,214,5531,966,49190
SOUTH SAN ANTONIO ISD,20,9953,1.3,96.8,1.5,0.1,0.1,0.1,0.1,92.5,7.4,9,9,9,9634,129,9,736,149,9206
SOMERSET ISD,20,3932,0.6,86.4,11.8,0.2,0.0,0.2,0.8,79.5,8.7,0,7,7,3397,23,31,342,463,3125
NORTH EAST ISD,20,67757,7.3,57.6,28.1,0.3,3.6,0.2,3.1,45.2,9.0,2439,203,135,39028,4946,2100,6098,19039,30626
EAST CENTRAL ISD,20,9811,8.0,72.1,18.2,0.1,0.4,0.1,1.2,63.8,10.3,39,9,9,7073,784,117,1010,1785,6259
SOUTHWEST ISD,20,13479,2.9,90.5,5.3,0.1,0.3,0.0,0.8,82.8,10.2,40,13,0,12198,390,107,1374,714,11160
LACKLAND ISD,20,880,17.0,22.5,44.0,0.6,3.0,1.5,11.5,34.4,10.5,26,5,13,198,149,101,92,387,302
FT SAM HOUSTON ISD,20,1513,19.5,28.6,37.6,0.8,2.7,1.1,9.7,29.7,13.0,40,12,16,432,295,146,196,568,449
NORTHSIDE ISD,20,102950,6.3,68.4,19.1,0.1,3.1,0.3,2.8,51.2,10.9,3191,102,308,70417,6485,2882,11221,19663,52710
JUDSON ISD,20,23292,22.5,55.7,16.0,0.3,1.9,0.4,3.3,63.3,9.8,442,69,93,12973,5240,768,2282,3726,14743
SOUTHSIDE ISD,20,5332,1.2,90.3,7.8,0.1,0.3,0.0,0.4,78.0,10.3,15,5,0,4814,63,21,549,415,4158
JOHNSON CITY ISD,13,679,0.0,29.0,67.3,1.0,0.3,0.1,2.2,39.2,11.0,2,6,0,196,0,14,74,456,266
BLANCO ISD,13,995,0.8,38.6,58.3,0.3,0.0,0.0,2.0,51.0,9.0,0,2,0,384,7,19,89,580,507
BORDEN COUNTY ISD,17,249,0.8,16.9,77.1,1.6,0.0,0.0,3.6,24.1,6.8,0,3,0,42,1,8,16,191,60
CLIFTON ISD,12,1022,2.5,33.0,59.3,0.8,1.2,0.0,3.2,54.2,10.4,12,8,0,337,25,32,106,606,553
MERIDIAN ISD,12,493,2.8,33.3,60.0,0.0,0.4,0.0,3.4,62.7,12.4,1,0,0,164,13,16,61,295,309
MORGAN ISD,12,108,0.0,62.0,32.4,0.9,0.0,0.0,4.6,96.3,18.5,0,0,0,66,0,4,19,34,104
VALLEY MILLS ISD,12,620,3.1,25.8,68.4,0.2,0.5,0.0,2.1,61.8,12.7,3,1,0,159,19,13,78,424,383
WALNUT SPRINGS ISD,12,172,0.0,58.7,40.7,0.6,0.0,0.0,0.0,83.1,12.2,0,1,0,100,0,0,20,70,142
IREDELL ISD,12,134,0.0,27.6,70.1,0.0,0.0,0.0,2.2,52.2,10.4,0,0,0,36,0,2,13,93,69
KOPPERL ISD,12,232,2.2,9.1,87.9,0.0,0.0,0.0,0.9,70.7,13.4,0,0,0,21,5,2,31,203,164
CRANFILLS GAP ISD,12,125,0.8,28.8,68.8,0.0,0.0,0.0,1.6,66.4,10.4,0,0,0,36,1,2,13,86,83
DEKALB ISD,8,801,19.4,11.7,63.3,1.1,0.0,0.0,4.5,66.8,11.2,0,8,0,93,155,36,89,507,535
HOOKS ISD,8,857,13.4,8.9,69.7,0.5,0.0,0.0,7.6,55.5,11.2,0,4,0,76,114,65,95,597,475
MAUD ISD,8,480,8.5,2.3,84.4,0.6,0.0,0.0,4.2,55.8,11.5,0,2,0,11,40,20,55,405,267
NEW BOSTON ISD,8,1370,21.4,6.5,62.4,0.5,0.6,0.1,8.5,60.6,13.6,8,6,1,89,293,116,186,854,830
REDWATER ISD,8,1147,2.9,2.7,92.7,0.3,0.3,0.0,1.1,40.3,7.8,3,3,0,30,33,12,89,1063,462
TEXARKANA ISD,8,7195,44.9,13.7,35.4,0.4,1.2,0.1,4.3,68.7,9.6,86,28,7,985,3230,309,690,2547,4942
LIBERTY-EYLAU ISD,8,2560,50.4,5.5,38.2,0.4,0.2,0.5,4.8,81.7,12.6,5,10,12,140,1290,122,322,977,2091
SIMMS ISD,8,506,0.0,4.3,92.7,0.2,0.0,0.0,2.8,55.9,16.6,0,1,0,21,0,14,83,469,282
MALTA ISD,8,128,0.0,5.5,84.4,1.6,0.0,0.0,8.6,55.5,9.4,0,2,0,7,0,11,12,108,71
RED LICK ISD,8,532,0.9,3.4,92.3,0.8,0.4,0.0,2.3,10.0,6.2,2,4,0,18,4,12,32,491,53
PLEASANT GROVE ISD,8,2115,14.0,7.4,70.4,0.5,3.6,0.5,3.6,28.0,8.6,76,10,10,156,296,76,181,1488,592
HUBBARD ISD,8,88,0.0,19.3,71.6,3.4,0.0,0.0,5.7,55.7,11.4,0,2,0,16,0,5,10,63,49
LEARY ISD,8,113,1.8,8.0,85.8,0.0,0.0,0.0,4.4,67.3,6.2,0,0,0,9,2,4,7,96,76
ALVIN ISD,4,20757,15.6,43.9,29.4,0.4,8.7,0.1,1.9,49.3,9.2,1805,83,20,9112,3238,394,1909,6102,10233
ANGLETON ISD,4,6677,11.4,46.5,38.6,0.8,0.5,0.1,2.0,61.0,8.2,33,53,6,3104,761,133,547,2577,4072
DANBURY ISD,4,783,0.4,20.3,75.1,1.3,0.4,0.0,2.6,31.8,7.8,3,10,0,158,3,20,61,588,248
BRAZOSPORT ISD,4,12382,8.3,52.1,35.2,0.5,1.4,0.1,2.3,55.2,8.2,173,61,12,6451,1027,284,1015,4358,6834
SWEENY ISD,4,1903,14.1,22.1,58.7,0.6,0.2,0.1,4.3,48.6,8.2,3,11,1,420,268,81,156,1117,924
COLUMBIA-BRAZORIA ISD,4,3076,11.5,27.6,57.7,0.3,0.2,0.0,2.7,53.1,8.0,6,9,0,848,353,83,246,1774,1633
PEARLAND ISD,4,20481,16.0,30.6,39.9,0.5,10.0,0.1,2.8,27.1,8.5,2048,102,20,6267,3276,573,1740,8171,5550
DAMON ISD,4,189,2.1,52.4,43.4,0.0,0.0,0.0,2.1,100.0,11.6,0,0,0,99,3,3,21,82,189
BRAZOS SCHOOL FOR INQUIRY & CREATI,6,434,57.1,37.1,4.8,0.0,0.2,0.0,0.7,91.7,6.2,0,0,0,161,247,3,26,20,397
ARROW ACADEMY,6,844,60.4,36.0,3.0,0.0,0.4,0.0,0.2,74.1,3.7,3,0,0,303,509,1,31,25,625
COLLEGE STATION ISD,6,12377,13.8,21.4,53.5,0.3,7.9,0.1,2.9,34.1,8.1,977,37,12,2648,1708,358,1002,6621,4220
BRYAN ISD,6,15943,18.9,55.0,23.9,0.2,0.4,0.1,1.5,73.6,8.1,63,31,15,8768,3013,239,1291,3810,11734
TERLINGUA CSD,18,87,0.0,78.2,19.5,2.3,0.0,0.0,0.0,78.2,11.5,0,2,0,68,0,0,10,16,68
ALPINE ISD,18,1011,0.5,64.9,32.9,0.0,0.7,0.1,0.9,48.5,8.3,7,0,1,656,5,9,83,332,490
MARATHON ISD,18,41,0.0,63.4,36.6,0.0,0.0,0.0,0.0,65.9,14.6,0,0,0,25,0,0,5,15,27
SAN VICENTE ISD,18,29,0.0,31.0,62.1,0.0,0.0,0.0,6.9,27.6,6.9,0,0,0,8,0,2,2,18,8
SILVERTON ISD,16,185,2.7,44.3,51.4,0.0,0.0,0.0,1.6,54.1,9.7,0,0,0,81,4,2,17,95,100
BROOKS COUNTY ISD,2,1528,0.0,98.4,1.3,0.1,0.1,0.0,0.1,83.5,7.9,1,1,0,1503,0,1,120,19,1275
BANGS ISD,15,1014,3.2,24.3,69.7,0.1,0.0,0.1,2.7,41.5,10.3,0,1,1,246,32,27,104,706,420
BROWNWOOD ISD,15,3589,5.3,38.9,51.3,0.4,0.9,0.0,3.1,66.3,8.5,32,14,0,1396,190,111,305,1841,2379
BLANKET ISD,15,210,1.9,25.2,69.0,1.9,0.5,0.5,1.0,49.0,15.2,1,3,1,52,3,2,31,144,102
MAY ISD,15,294,0.7,19.4,78.6,0.3,0.0,0.3,0.7,57.5,7.8,0,0,0,57,2,2,22,231,169
ZEPHYR ISD,15,208,0.5,9.1,88.0,0.0,0.0,0.0,2.4,64.4,6.3,0,0,0,18,1,4,13,183,133
BROOKESMITH ISD,15,181,0.0,22.7,75.1,0.0,0.6,0.0,1.7,61.9,13.8,1,0,0,41,0,3,24,135,112
EARLY ISD,15,1228,3.2,22.5,69.8,0.4,1.3,0.1,2.8,44.1,10.7,15,4,1,276,39,34,131,857,541
CALDWELL ISD,6,1768,9.6,35.6,51.6,0.3,0.3,0.0,2.5,53.3,6.6,5,5,0,629,169,44,116,912,942
SOMERVILLE ISD,6,468,24.8,30.6,41.0,0.0,0.0,0.0,3.6,73.1,11.5,0,0,0,143,116,16,53,191,342
SNOOK ISD,6,517,28.6,24.4,44.9,0.0,0.0,0.0,2.1,66.0,8.3,0,0,0,126,147,10,42,232,341
BURNET CISD,13,3131,1.3,28.8,67.0,0.4,0.4,0.1,2.1,56.6,10.2,12,12,3,901,40,65,319,2097,1772
