DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,ASIAN,AMERICAN INDIAN OR ALASKA NAT,NATIVE HAWAIIAN/OTHER PACIFIC,HISPANIC/LATINO,BLACK OR AFRICAN AMERICAN,TWO OR MORE RACES,Special Education,WHITE,Economic Disadvantage
HARMONY SCIENCE ACAD (EL PASO),19,2653,6.0,79.8,11.4,0.2,1.0,0.2,1.4,73.7,7.4,26,5,5,2117,159,37,196,302,1955
LA FE PREPARATORY SCHOOL,19,251,0.0,99.2,0.8,0.0,0.0,0.0,0.0,94.4,10.0,0,0,0,248,0,0,25,2,236
VISTA DEL FUTURO CHARTER SCHOOL,19,339,3.2,86.7,7.1,0.0,0.9,0.0,2.1,47.2,5.0,3,0,0,293,10,7,16,24,160
EL PASO LEADERSHIP ACADEMY,19,77,0.0,84.4,10.4,0.0,1.3,0.0,3.9,72.7,10.4,1,0,0,64,0,3,8,8,55
CLINT ISD,19,11703,0.7,94.7,3.8,0.2,0.1,0.0,0.5,86.8,6.9,11,23,0,11082,81,58,807,444,10158
EL PASO ISD,19,60556,3.8,83.1,10.0,0.2,1.2,0.3,1.4,67.9,9.9,726,121,181,50322,2301,847,5995,6055,41117
FABENS ISD,19,2333,0.0,98.8,1.2,0.0,0.0,0.0,0.0,90.3,10.5,0,0,0,2305,0,0,244,27,2106
SAN ELIZARIO ISD,19,4038,0.1,99.4,0.4,0.0,0.0,0.0,0.0,96.4,8.0,0,0,0,4013,4,0,323,16,3892
YSLETA ISD,19,42421,1.5,93.5,4.1,0.2,0.3,0.1,0.5,80.9,11.2,127,84,42,39663,636,212,4751,1739,34318
ANTHONY ISD,19,872,0.9,95.4,3.4,0.0,0.0,0.0,0.2,99.7,9.9,0,0,0,831,7,1,86,29,869
CANUTILLO ISD,19,5859,0.9,94.4,3.8,0.1,0.4,0.0,0.4,73.8,9.1,23,5,0,5530,52,23,533,222,4323
TORNILLO ISD,19,1264,0.0,99.0,0.9,0.0,0.0,0.0,0.2,94.3,4.6,0,0,0,1251,0,2,58,11,1191
SOCORRO ISD,19,44380,2.3,91.5,4.6,0.3,0.6,0.1,0.5,71.2,8.1,266,133,44,40607,1020,221,3594,2041,31598
PREMIER HIGH SCHOOLS,11,3591,5.8,61.3,29.9,0.4,0.6,0.1,1.9,66.5,7.5,21,14,3,2201,208,68,269,1073,2388
ERATH EXCELS ACADEMY INC,11,193,2.6,48.7,46.6,1.6,0.5,0.0,0.0,75.6,13.0,0,3,0,93,5,0,25,89,145
THREE WAY ISD,11,90,0.0,54.4,41.1,0.0,0.0,0.0,4.4,83.3,3.3,0,0,0,48,0,3,2,36,74
DUBLIN ISD,11,1159,0.9,61.2,36.2,0.2,0.2,0.0,1.4,76.0,5.6,2,2,0,709,10,16,64,419,880
STEPHENVILLE ISD,11,3607,1.2,27.1,67.8,1.5,0.7,0.1,1.5,46.3,7.6,25,54,3,977,43,54,274,2445,1670
BLUFF DALE ISD,11,107,0.0,7.5,87.9,0.9,0.9,0.0,2.8,22.4,4.7,0,0,0,8,0,2,5,94,23
HUCKABAY ISD,11,189,0.0,18.0,79.4,1.1,0.5,0.0,1.1,38.6,4.2,0,2,0,34,0,2,7,150,72
LINGLEVILLE ISD,11,225,0.0,49.3,48.9,0.0,0.0,0.0,1.8,54.7,4.4,0,0,0,110,0,4,9,110,123
MORGAN MILL ISD,11,119,0.0,16.0,82.4,0.0,0.0,0.0,1.7,47.9,3.4,0,0,0,19,0,2,4,98,57
CHILTON ISD,12,494,14.6,59.5,23.7,0.0,0.0,0.2,2.0,82.8,12.3,0,0,0,293,72,9,60,117,409
MARLIN ISD,12,943,57.5,31.9,8.3,0.2,0.5,0.0,1.6,99.0,12.3,4,1,0,300,542,15,115,78,933
WESTPHALIA ISD,12,160,0.6,21.9,75.6,0.6,0.0,0.0,1.3,23.1,8.8,0,0,0,35,0,2,14,120,36
ROSEBUD-LOTT ISD,12,632,12.5,38.8,46.2,0.2,0.0,0.0,2.4,67.9,11.9,0,1,0,245,79,15,75,291,429
BONHAM ISD,10,1903,7.3,23.2,64.2,1.3,0.3,0.1,3.7,67.9,12.3,5,24,1,441,138,70,234,1221,1292
DODD CITY ISD,10,385,0.5,7.3,89.1,0.3,0.0,0.0,2.9,43.9,8.6,0,1,0,28,1,11,33,343,169
ECTOR ISD,10,270,0.7,13.3,83.0,0.4,1.9,0.0,0.7,49.6,12.2,5,1,0,35,1,1,32,224,133
HONEY GROVE ISD,10,610,12.0,17.2,64.6,1.0,0.2,0.0,5.1,61.6,11.8,1,6,0,104,73,31,71,394,375
LEONARD ISD,10,875,3.7,15.5,75.2,2.3,0.3,0.0,3.0,55.7,8.8,2,20,0,135,32,26,77,658,487
SAVOY ISD,10,288,0.7,6.3,85.1,1.4,0.7,0.0,5.9,54.2,9.7,2,4,0,18,2,16,27,245,156
TRENTON ISD,10,508,2.4,16.5,77.2,1.2,0.4,0.0,2.4,40.7,8.9,2,6,0,83,12,12,45,392,206
SAM RAYBURN ISD,10,488,0.8,8.2,87.1,1.0,0.0,0.0,2.9,44.7,8.0,0,4,0,40,3,14,39,425,218
FLATONIA ISD,13,603,3.2,55.6,39.6,0.2,0.7,0.0,0.8,57.5,8.3,4,1,0,335,19,4,50,238,346
LA GRANGE ISD,13,1882,9.4,36.8,50.5,0.3,0.6,0.0,2.4,49.5,7.8,11,5,0,692,176,45,146,950,931
SCHULENBURG ISD,13,708,13.8,39.7,44.4,0.4,0.4,0.0,1.3,59.3,9.6,2,2,0,281,97,9,67,314,419
FAYETTEVILLE ISD,13,211,1.4,10.9,87.2,0.0,0.0,0.0,0.5,31.3,8.5,0,0,0,22,2,1,17,183,66
ROUND TOP-CARMINE ISD,13,284,4.6,15.8,74.3,0.7,0.0,0.0,4.6,30.6,10.6,0,1,0,44,13,13,30,211,86
ROBY CISD,14,277,1.4,36.1,59.9,0.0,0.0,0.0,2.5,53.8,7.9,0,0,0,99,3,6,21,165,149
ROTAN ISD,14,255,5.1,47.8,43.9,0.4,0.4,0.0,2.4,56.1,10.6,1,1,0,121,13,6,27,111,143
FLOYDADA ISD,17,753,4.0,79.2,16.5,0.1,0.0,0.0,0.3,75.6,7.8,0,0,0,596,30,2,58,124,569
LOCKNEY ISD,17,498,2.0,79.1,18.7,0.0,0.0,0.0,0.2,78.3,8.8,0,0,0,393,9,0,43,93,389
CROWELL ISD,9,211,3.3,33.2,60.7,0.0,1.4,0.0,1.4,68.2,15.2,2,0,0,70,6,2,32,128,143
LAMAR CISD,4,28252,18.8,44.6,28.2,0.3,6.2,0.1,1.8,40.2,8.2,1751,84,28,12600,5311,508,2316,7967,11357
NEEDVILLE ISD,4,2911,3.8,43.1,51.0,0.3,0.4,0.0,1.3,37.9,8.1,11,8,0,1254,110,37,235,1484,1103
FORT BEND ISD,4,71681,28.6,26.6,18.0,0.4,23.8,0.1,2.6,37.1,6.3,17060,286,71,19067,20500,1863,4515,12902,26593
STAFFORD MSD,4,3412,40.4,45.3,4.4,0.3,7.3,0.1,2.3,67.8,7.7,249,10,3,1545,1378,78,262,150,2313
MOUNT VERNON ISD,8,1656,4.8,26.4,64.3,0.4,1.0,0.0,3.2,55.6,8.6,16,6,0,437,79,52,142,1064,920
FAIRFIELD ISD,12,1763,17.0,21.7,56.9,0.5,1.2,0.1,2.6,50.1,6.4,21,8,1,382,299,45,112,1003,883
TEAGUE ISD,12,1307,14.1,25.6,57.1,0.3,0.3,0.0,2.6,51.1,7.7,3,3,0,334,184,33,100,746,667
WORTHAM ISD,12,481,13.1,15.8,69.2,0.0,0.6,0.0,1.2,48.9,6.9,2,0,0,75,63,5,33,332,235
DEW ISD,12,147,7.5,12.2,76.2,0.0,0.7,0.0,3.4,46.9,6.1,1,0,0,17,11,4,8,112,68
DILLEY ISD,20,1046,0.8,88.9,9.8,0.0,0.4,0.0,0.1,51.5,8.2,4,0,0,929,8,1,85,102,538
PEARSALL ISD,20,2357,0.4,93.2,5.7,0.1,0.2,0.1,0.3,78.9,8.7,4,2,2,2196,9,7,205,134,1859
SEAGRAVES ISD,17,596,8.2,79.5,11.7,0.0,0.0,0.0,0.5,62.6,6.4,0,0,0,473,48,2,38,69,373
LOOP ISD,17,126,0.8,54.8,44.4,0.0,0.0,0.0,0.0,42.9,4.8,0,0,0,69,1,0,6,55,54
SEMINOLE ISD,17,2824,1.1,50.0,47.6,0.3,0.4,0.1,0.5,47.6,7.1,11,8,2,1412,31,14,200,1344,1344
MAINLAND PREPARATORY ACADEMY,4,437,77.1,15.1,3.9,0.7,1.4,0.0,1.8,83.5,0.7,6,3,0,65,336,7,3,17,364
ODYSSEY ACADEMY INC,4,761,9.1,69.3,17.7,0.7,1.2,0.0,2.1,82.7,8.8,9,5,0,527,69,15,66,134,629
AMBASSADORS PREPARATORY ACADEMY,4,302,64.2,23.5,9.3,0.0,2.0,0.0,1.0,85.4,6.0,6,0,0,70,193,3,18,28,257
PREMIER LEARNING ACADEMY,4,510,49.6,32.2,14.1,0.4,1.0,0.4,2.4,81.8,5.5,5,2,2,164,252,12,28,71,417
DICKINSON ISD,4,10391,17.2,48.0,30.1,0.3,2.3,0.1,2.0,62.0,9.4,238,31,10,4987,1787,207,976,3127,6442
GALVESTON ISD,4,6953,23.9,45.4,26.3,0.5,2.1,0.2,1.6,75.1,7.1,146,34,13,3156,1661,111,493,1828,5221
HIGH ISLAND ISD,5,146,1.4,7.5,82.9,0.0,0.7,0.0,7.5,63.7,6.8,1,0,0,10,2,10,9,121,93
LA MARQUE ISD,4,2296,66.6,21.1,8.8,2.1,0.2,0.0,1.2,69.3,11.1,4,48,0,484,1529,27,254,202,1591
TEXAS CITY ISD,4,6244,21.0,42.4,33.8,0.9,0.5,0.2,1.2,65.4,8.0,31,56,12,2647,1311,74,499,2110,4083
HITCHCOCK ISD,4,1634,45.3,27.9,24.4,0.2,0.2,0.0,2.0,79.6,9.2,3,3,0,455,740,32,150,398,1300
SANTA FE ISD,4,4620,0.4,18.7,78.4,0.5,0.5,0.1,1.4,33.7,10.2,23,23,4,863,18,64,471,3622,1556
CLEAR CREEK ISD,4,40640,8.1,28.7,49.3,0.2,9.8,0.1,3.8,27.0,9.6,3982,81,40,11663,3291,1544,3901,20035,10972
FRIENDSWOOD ISD,4,6087,2.0,15.5,73.8,0.3,6.2,0.1,2.1,8.0,8.2,377,18,6,943,121,127,499,4492,486
POST ISD,17,895,8.0,58.1,30.8,0.9,0.1,0.0,2.0,71.1,11.4,0,8,0,519,71,17,102,275,636
SOUTHLAND ISD,17,157,2.5,48.4,48.4,0.0,0.0,0.0,0.6,75.2,5.7,0,0,0,75,3,0,8,75,118
DOSS CONSOLIDATED CSD,13,18,0.0,27.8,72.2,0.0,0.0,0.0,0.0,0.0,27.8,0,0,0,5,0,0,5,12,0
FREDERICKSBURG ISD,13,2993,0.1,47.1,51.1,0.1,0.5,0.1,1.0,52.5,9.3,14,2,2,1409,2,29,278,1529,1571
HARPER ISD,13,609,0.3,11.8,86.2,0.7,0.3,0.2,0.5,34.0,11.0,1,4,1,71,1,3,66,524,207
GLASSCOCK COUNTY ISD,18,306,0.0,48.7,51.3,0.0,0.0,0.0,0.0,38.2,6.9,0,0,0,149,0,0,21,156,116
GOLIAD ISD,3,1389,4.8,46.7,45.9,0.2,0.1,0.1,2.3,45.1,9.3,1,2,1,648,66,31,129,637,626
GONZALES ISD,13,2795,7.4,67.9,24.0,0.0,0.2,0.0,0.4,70.2,9.3,5,0,0,1897,206,11,259,670,1962
NIXON-SMILEY CISD,13,1085,0.6,77.9,20.9,0.0,0.0,0.0,0.6,79.2,11.1,0,0,0,845,6,6,120,226,859
WAELDER ISD,13,308,12.7,82.8,3.9,0.0,0.0,0.0,0.6,90.9,7.5,0,0,0,255,39,1,23,12,279
LEFORS ISD,16,164,0.0,14.0,82.3,0.0,0.0,0.0,3.7,61.0,6.1,0,0,0,22,0,6,10,134,100
MCLEAN ISD,16,206,1.0,18.0,79.1,0.5,0.0,0.0,1.5,44.2,7.3,0,1,0,37,2,3,15,162,91
PAMPA ISD,16,3824,2.9,44.5,49.8,0.4,0.3,0.0,2.1,56.1,9.7,11,15,0,1701,110,80,370,1904,2145
GRANDVIEW-HOPKINS ISD,16,42,2.4,16.7,81.0,0.0,0.0,0.0,0.0,35.7,14.3,0,0,0,7,1,0,6,34,14
BELLS ISD,10,752,0.4,5.6,87.9,1.7,0.0,0.3,4.1,31.9,8.2,0,12,2,42,3,30,61,661,239
COLLINSVILLE ISD,10,535,2.1,17.0,78.1,0.6,0.0,0.0,2.2,45.6,5.4,0,3,0,90,11,11,28,417,243
DENISON ISD,10,4530,9.9,17.5,62.4,2.6,0.8,0.1,6.8,65.1,14.2,36,117,4,792,448,308,643,2826,2949
HOWE ISD,10,1022,0.5,14.1,80.5,1.8,0.5,0.1,2.5,45.3,8.2,5,18,1,144,5,25,83,822,462
SHERMAN ISD,10,7145,13.0,37.0,40.6,1.3,2.4,0.0,5.7,66.5,11.3,171,92,0,2643,928,407,807,2900,4751
TIOGA ISD,10,385,0.3,22.9,71.2,1.3,1.0,0.0,3.4,45.5,7.5,3,5,0,88,1,13,28,274,175
VAN ALSTYNE ISD,10,1395,1.5,10.8,84.2,1.0,0.0,0.0,2.5,28.0,7.6,0,13,0,150,20,34,106,1174,390
WHITESBORO ISD,10,1569,0.6,14.1,81.3,2.3,0.2,0.0,1.5,49.6,9.8,3,36,0,221,9,23,153,1275,778
WHITEWRIGHT ISD,10,775,5.8,9.8,79.1,0.3,0.6,0.0,4.4,44.8,7.7,4,2,0,75,44,34,59,613,347
POTTSBORO ISD,10,1384,0.4,5.8,85.6,3.3,0.7,0.1,4.1,40.1,8.7,9,45,1,80,5,56,120,1184,554
S AND S CISD,10,841,0.5,9.3,84.1,1.7,0.1,0.0,4.4,48.6,8.7,0,14,0,78,4,37,73,707,408
GUNTER ISD,10,795,1.1,21.3,73.0,1.0,0.5,0.0,3.1,30.7,7.5,3,7,0,169,8,24,59,580,244
TOM BEAN ISD,10,684,1.3,5.0,89.0,0.9,0.3,0.3,3.2,48.4,13.0,2,6,2,34,8,21,88,608,331
EAST TEXAS CHARTER SCHOOLS,7,174,6.3,22.4,69.0,0.0,0.6,0.0,1.7,23.6,6.3,1,0,0,38,10,2,10,120,41
GLADEWATER ISD,7,1850,20.9,15.4,57.7,0.3,0.9,0.0,4.9,47.7,12.3,16,5,0,284,386,90,227,1067,882
KILGORE ISD,7,4048,16.1,30.2,48.2,0.7,1.0,0.1,3.7,59.1,7.2,40,28,4,1222,651,149,291,1951,2392
LONGVIEW ISD,7,8742,37.7,36.3,21.0,0.7,1.3,0.2,2.8,69.4,7.9,113,61,17,3173,3295,244,690,1835,6066
PINE TREE ISD,7,4622,20.8,29.0,46.3,0.3,1.3,0.1,2.2,61.7,8.3,60,13,4,1340,961,101,383,2139,2851
SABINE ISD,7,1396,5.9,19.7,70.2,0.5,0.4,0.0,3.2,43.6,8.1,5,6,0,275,82,44,113,979,608
SPRING HILL ISD,7,1869,11.0,13.8,69.4,1.0,1.6,0.4,2.9,36.9,6.2,29,18,7,257,205,54,115,1297,689
WHITE OAK ISD,7,1453,2.6,6.8,85.3,0.7,0.8,0.0,3.9,35.4,7.0,11,10,0,98,37,56,101,1239,514
ANDERSON-SHIRO CISD,6,823,8.3,15.9,73.6,0.7,0.2,0.0,1.2,40.3,7.5,1,5,0,130,68,9,61,605,331
IOLA ISD,6,451,3.5,14.4,81.4,0.0,0.0,0.0,0.7,45.2,7.3,0,0,0,64,15,3,32,367,203
NAVASOTA ISD,6,3051,23.6,48.9,25.9,0.2,0.4,0.0,1.1,71.8,6.5,12,6,0,1491,720,33,198,790,2190
RICHARDS ISD,6,144,13.9,8.3,77.8,0.0,0.0,0.0,0.0,61.8,6.9,0,0,0,11,20,0,9,112,88
SEGUIN ISD,13,7379,5.4,69.2,23.9,0.1,0.5,0.0,0.9,68.3,9.2,36,7,0,5106,398,66,678,1763,5039
SCHERTZ-CIBOLO-U CITY ISD,20,14586,10.9,39.1,42.2,0.4,2.0,0.3,5.1,28.2,8.2,291,58,43,5703,1589,743,1196,6155,4113
NAVARRO ISD,13,1739,1.3,43.8,52.8,0.1,0.5,0.1,1.4,38.6,7.4,8,1,1,761,22,24,128,918,671
MARION ISD,13,1417,1.8,36.6,58.9,0.6,0.5,0.1,1.7,43.1,6.9,7,8,1,518,25,24,97,834,610
ABERNATHY ISD,17,779,0.6,59.4,38.3,0.4,0.1,0.0,1.2,53.8,8.9,0,3,0,462,4,9,69,298,419
COTTON CENTER ISD,17,112,0.0,62.5,36.6,0.0,0.9,0.0,0.0,78.6,11.6,1,0,0,70,0,0,12,40,88
HALE CENTER ISD,17,653,1.7,66.9,28.5,0.6,0.5,0.0,1.8,73.7,7.5,3,3,0,436,11,11,48,186,481
PETERSBURG ISD,17,243,1.2,79.8,18.9,0.0,0.0,0.0,0.0,73.7,8.6,0,0,0,193,2,0,20,45,179
PLAINVIEW ISD,17,5553,3.9,77.3,16.9,0.3,0.3,0.1,1.1,76.3,8.4,16,16,5,4292,216,61,466,938,4236
MEMPHIS ISD,16,538,8.4,56.3,34.4,0.2,0.2,0.0,0.6,69.5,11.3,1,1,0,302,45,3,60,185,373
TURKEY-QUITAQUE ISD,16,189,3.2,31.2,64.6,0.0,0.0,0.0,1.1,48.1,9.0,0,0,0,58,6,2,17,122,90
HAMILTON ISD,12,754,0.7,15.8,81.2,0.3,0.4,0.0,1.7,51.1,11.5,3,2,0,119,5,12,86,612,385
HICO ISD,12,571,0.2,25.0,74.3,0.2,0.0,0.0,0.4,59.2,8.8,0,1,0,142,1,2,50,424,338
GRUVER ISD,16,446,0.0,50.9,48.0,0.2,0.4,0.0,0.4,43.7,6.3,1,0,0,227,0,1,28,214,194
PRINGLE-MORSE CISD,16,123,0.0,30.1,69.1,0.0,0.0,0.0,0.8,46.3,11.4,0,0,0,37,0,0,14,84,56
SPEARMAN ISD,16,879,0.0,66.8,32.0,0.0,0.5,0.0,0.8,56.9,6.3,4,0,0,587,0,7,55,281,500
CHILLICOTHE ISD,9,183,3.3,36.6,54.1,1.1,0.5,0.0,4.4,79.8,10.4,0,2,0,66,6,8,19,99,146
QUANAH ISD,9,552,3.3,32.4,58.5,0.2,1.1,0.0,4.5,75.7,10.7,6,1,0,178,18,24,59,322,417
KOUNTZE ISD,5,1223,11.9,5.6,79.8,0.6,0.6,0.1,1.6,48.7,9.1,7,7,1,68,145,19,111,975,595
SILSBEE ISD,5,2784,17.9,6.9,71.0,0.6,0.4,0.1,3.1,56.4,10.5,11,16,2,192,498,86,292,1976,1570
HARDIN-JEFFERSON ISD,5,2221,8.6,8.7,80.8,0.2,0.4,0.0,1.4,35.0,7.7,8,4,0,193,191,31,171,1794,777
LUMBERTON ISD,5,3883,0.3,7.9,88.8,0.5,1.0,0.1,1.5,28.4,7.9,38,19,3,306,11,58,306,3448,1102
WEST HARDIN COUNTY CISD,5,584,0.3,2.9,93.7,1.0,0.0,0.5,1.5,47.1,8.4,0,5,2,16,1,8,49,547,275
MEDICAL CENTER CHARTER SCHOOL,4,326,64.1,26.4,2.1,0.6,4.9,0.0,1.8,79.4,2.5,15,1,0,86,208,5,8,6,258
SER-NINOS CHARTER SCHOOL,4,1031,0.6,98.7,0.2,0.4,0.0,0.0,0.1,96.6,4.0,0,4,0,1017,6,1,41,2,995
ARISTOI CLASSICAL ACADEMY,4,539,9.8,30.1,57.0,0.0,0.4,0.0,2.8,18.6,5.6,2,0,0,162,52,15,30,307,100
GEORGE I SANCHEZ CHARTER,4,736,0.5,98.8,0.5,0.1,0.0,0.0,0.0,90.9,6.8,0,0,0,727,3,0,50,3,669
GIRLS & BOYS PREPARATORY ACADEMY,4,745,70.7,27.4,0.5,0.7,0.4,0.0,0.3,95.4,7.0,2,5,0,204,526,2,52,3,710
RAUL YZAGUIRRE SCHOOL FOR SUCCESS,4,1290,0.0,99.2,0.2,0.4,0.0,0.0,0.2,97.8,7.1,0,5,0,1279,0,2,91,2,1261
UNIVERSITY OF HOUSTON CHARTER SCHO,4,139,32.4,38.8,21.6,0.0,3.6,0.0,3.6,25.9,7.2,5,0,0,53,45,5,10,30,36
BAY AREA CHARTER INC,4,419,7.9,27.4,61.1,1.0,1.2,0.2,1.2,34.6,13.6,5,4,0,114,33,5,56,256,144
ACADEMY OF ACCELERATED LEARNING IN,4,747,39.8,56.0,0.4,2.1,1.1,0.0,0.7,98.7,1.6,8,15,0,418,297,5,11,2,737
EXCEL ACADEMY,4,476,51.1,38.7,8.6,0.4,0.2,0.0,1.1,100.0,14.9,0,1,0,184,243,5,70,40,476
KIPP INC CHARTER,4,11240,35.1,62.0,0.7,0.4,1.2,0.0,0.6,91.8,4.8,134,44,0,6968,3945,67,539,78,10318
THE VARNETT PUBLIC SCHOOL,4,1614,47.1,50.7,1.7,0.2,0.1,0.0,0.2,98.8,2.5,1,3,0,818,760,3,40,27,1594
ALIEF MONTESSORI COMMUNITY SCHOOL,4,296,15.2,38.9,1.0,0.0,44.3,0.0,0.7,59.5,4.7,131,0,0,115,44,2,13,2,176
AMIGOS POR VIDA-FRIENDS FOR LIFE P,4,500,0.4,99.6,0.0,0.0,0.0,0.0,0.0,98.6,4.2,0,0,0,498,2,0,21,0,493
HOUSTON HEIGHTS HIGH SCHOOL,4,205,10.7,84.9,3.9,0.0,0.0,0.5,0.0,88.3,6.3,0,0,1,174,21,0,12,7,181
HOUSTON GATEWAY ACADEMY INC,4,1886,2.4,96.3,1.0,0.0,0.1,0.0,0.2,90.8,3.0,1,0,0,1816,45,3,56,18,1712
HOUSTON HEIGHTS LEARNING ACADEMY I,4,166,51.8,39.2,4.8,0.6,3.0,0.0,0.6,98.8,5.4,4,0,0,65,85,0,8,7,164
LA AMISTAD LOVE & LEARNING ACADEMY,4,257,76.3,19.8,0.8,0.8,2.3,0.0,0.0,94.2,12.5,5,2,0,50,196,0,32,2,242
CALVIN NELMS CHARTER SCHOOLS,4,303,11.9,53.5,31.4,0.0,1.0,0.0,2.3,27.7,7.6,3,0,0,162,36,6,23,95,83
SOUTHWEST SCHOOL,4,1988,8.2,82.8,7.8,0.2,0.5,0.1,0.4,87.4,7.7,9,3,1,1646,163,7,153,155,1737
TWO DIMENSIONS PREPARATORY ACADEMY,4,533,86.7,12.8,0.0,0.0,0.4,0.0,0.2,94.6,2.4,2,0,0,68,462,1,12,0,504
COMQUEST ACADEMY,4,60,10.0,35.0,55.0,0.0,0.0,0.0,0.0,65.0,3.3,0,0,0,21,6,0,1,33,39
YES PREP PUBLIC SCHOOLS INC,4,8450,10.4,86.4,0.9,0.4,1.7,0.0,0.1,82.7,5.7,143,33,0,7300,878,8,481,76,6988
HARMONY SCIENCE ACADEMY,4,3471,33.0,43.8,9.7,0.1,11.8,0.0,1.4,73.1,4.4,409,3,0,1520,1145,48,152,336,2537
BEATRICE MAYES INSTITUTE CHARTER S,4,472,97.9,1.9,0.2,0.0,0.0,0.0,0.0,68.6,6.6,0,0,0,8,462,0,31,0,323
NORTHWEST PREPARATORY,4,315,83.8,12.4,1.9,0.6,0.0,0.0,1.3,86.3,9.2,0,1,0,39,263,4,28,5,271
ACCELERATED INTERMEDIATE ACADEMY,4,254,44.9,53.9,0.0,0.0,1.2,0.0,0.0,95.7,7.5,3,0,0,136,114,0,19,0,243
ZOE LEARNING ACADEMY,4,491,92.9,5.1,1.2,0.2,0.0,0.0,0.6,68.2,6.3,0,0,0,25,456,2,30,5,334
PROMISE COMMUNITY SCHOOL,4,1867,20.9,71.3,4.6,0.1,2.7,0.0,0.4,90.6,9.1,50,1,0,1331,390,7,169,85,1691
MEYERPARK ELEMENTARY,4,224,75.0,21.9,2.7,0.0,0.4,0.0,0.0,91.5,4.9,0,0,0,49,168,0,10,6,204
DRAW ACADEMY,4,542,0.9,96.7,0.2,0.0,2.2,0.0,0.0,100.0,1.7,11,0,0,524,4,0,9,1,542
HARMONY SCHOOL OF EXCELLENCE,4,4018,19.0,42.1,15.2,0.3,20.9,0.0,2.5,48.6,4.9,839,12,0,1691,763,100,196,610,1952
STEP CHARTER SCHOOL,4,341,27.6,54.5,3.2,1.5,12.6,0.0,0.6,99.7,11.7,42,5,0,185,94,2,39,10,339
THE RHODES SCHOOL,4,804,76.1,20.8,0.6,0.0,1.1,0.4,1.0,69.9,4.1,8,0,3,167,611,8,32,4,561
HARMONY SCHOOL OF SCIENCE - HOUSTO,4,2949,24.8,22.0,20.1,0.2,30.9,0.0,1.9,48.9,5.2,911,5,0,648,731,56,153,592,1442
THE LAWSON ACADEMY,4,154,87.7,10.4,0.0,0.0,0.0,0.0,1.9,74.7,11.7,0,0,0,16,135,2,18,0,115
VICTORY PREP,4,634,72.4,26.8,0.2,0.2,0.0,0.0,0.5,88.3,6.5,0,1,0,169,459,3,41,1,559
GLOBAL LEARNING VILLAGE,4,69,97.1,2.9,0.0,0.0,0.0,0.0,0.0,37.7,0.0,0,0,0,2,66,0,0,0,26
FALLBROOK COLLEGE PREPARATORY ACAD,4,556,92.4,6.1,0.4,0.2,0.5,0.0,0.4,66.7,5.4,2,1,0,33,513,2,30,2,370
THE PRO-VISION ACADEMY,4,356,89.9,9.6,0.3,0.0,0.0,0.0,0.3,94.1,17.1,0,0,0,34,320,1,60,1,334
C O R E ACADEMY,4,343,91.3,7.9,0.9,0.0,0.0,0.0,0.0,88.3,11.7,0,0,0,27,313,0,40,3,302
ALDINE ISD,4,69553,24.5,71.3,1.9,0.2,1.3,0.1,0.7,82.4,6.7,904,139,69,49591,17040,486,4660,1321,57311
ALIEF ISD,4,47174,29.6,52.6,3.7,1.1,12.3,0.2,0.6,80.4,7.4,5802,518,94,24813,13963,283,3490,1745,37927
CHANNELVIEW ISD,4,9130,11.8,77.2,8.5,0.8,1.1,0.1,0.5,78.2,8.4,100,73,9,7048,1077,45,766,776,7139
CROSBY ISD,4,5430,16.6,33.9,46.7,0.4,0.4,0.0,2.0,46.5,8.9,21,21,0,1840,901,108,483,2535,2524
CYPRESS-FAIRBANKS ISD,4,112691,16.5,44.0,27.5,0.7,8.8,0.1,2.4,49.2,7.2,9916,788,112,49584,18594,2704,8113,30990,55443
DEER PARK ISD,4,13015,2.4,52.8,41.4,0.3,1.1,0.0,1.9,42.7,10.0,143,39,0,6871,312,247,1301,5388,5557
GALENA PARK ISD,4,22639,16.1,76.9,5.3,0.4,0.8,0.0,0.6,80.2,8.2,181,90,0,17409,3644,135,1856,1199,18156
GOOSE CREEK CISD,4,23069,15.7,58.7,22.2,0.3,1.4,0.1,1.6,61.9,9.4,322,69,23,13541,3621,369,2168,5121,14279
HOUSTON ISD,4,214462,24.9,62.1,8.3,0.2,3.6,0.1,0.9,75.6,7.4,7720,428,214,133180,53401,1930,15870,17800,162133
HUMBLE ISD,4,39371,18.7,33.0,42.4,0.4,3.0,0.4,2.1,33.4,7.6,1181,157,157,12992,7362,826,2992,16693,13149
KATY ISD,4,70126,9.6,34.5,39.4,0.4,13.2,0.1,2.7,28.6,8.5,9256,280,70,24193,6732,1893,5960,27629,20056
KLEIN ISD,4,49180,14.1,38.6,35.5,0.4,8.5,0.1,2.8,43.0,8.2,4180,196,49,18983,6934,1377,4032,17458,21147
LA PORTE ISD,4,7626,6.2,46.1,43.4,0.6,1.0,0.1,2.7,48.4,10.1,76,45,7,3515,472,205,770,3309,3690
PASADENA ISD,4,55395,7.0,82.4,6.7,0.2,3.0,0.1,0.6,76.9,9.1,1661,110,55,45645,3877,332,5040,3711,42598
SPRING ISD,4,36781,39.9,43.1,10.2,1.7,3.4,0.2,1.4,72.3,8.1,1250,625,73,15852,14675,514,2979,3751,26592
