DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total EXPULSION ACTIONS,ratio ECO. DISADV. EXPULSION ACTIONS vs average,ratio SPEC. ED. EXPULSION ACTIONS vs average,ratio BLACK OR AFRICAN AMERICAN EXPULSION ACTIONS vs average,ratio HISPANIC/LATINO EXPULSION ACTIONS vs average,ratio WHITE EXPULSION ACTIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT EXPULSION ACTIONS vs average,ratio ASIAN EXPULSION ACTIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC EXPULSION ACTIONS vs average,ratio TWO OR MORE RACES EXPULSION ACTIONS vs average
015830,BROOKS ACADEMY OF SCIENCE AND ENGI,20,1509,1.9,88.3,8.7,0.2,0.7,0,0.3,57.9,4.6,0,1,1,1,1,1,1,1,1,1
015831,SCHOOL OF SCIENCE AND TECHNOLOGY D,20,1014,6.9,68.1,18.4,0.2,5.1,0.1,1.1,59,5.7,0,1,1,1,1,1,1,1,1,1
015832,CITY CENTER HEALTH CAREERS,20,144,7.6,91,1.4,0,0,0,0,91,6.3,0,1,1,1,1,1,1,1,1,1
015833,HENRY FORD ACADEMY ALAMEDA SCHOOL,20,181,2.2,84.5,10.5,1.7,0,0.6,0.6,38.1,8.8,0,1,1,1,1,1,1,1,1,1
015834,BASIS SAN ANTONIO,20,508,2.8,40,31.1,0.2,21.7,0.2,4.1,5.5,2.4,0,1,1,1,1,1,1,1,1,1
015836,ELEANOR KOLITZ HEBREW LANGUAGE ACA,20,196,1,46.4,46.9,0,0.5,0,5.1,11.2,2.6,0,1,1,1,1,1,1,1,1,1
015901,ALAMO HEIGHTS ISD,20,4815,1.5,39.4,54.8,0.2,2.2,0,2,20.1,6.9,1,4.9751,0,0,2.5381,0,0,0,1,0
015904,HARLANDALE ISD,20,15316,0.4,97.3,2,0.1,0.1,0,0.1,88.2,9.2,11,0.1031,5.9289,0,1.0277,0,0,0,1,0
015905,EDGEWOOD ISD,20,12059,1,98.3,0.4,0,0.1,0,0.1,98.7,9.5,12,0.0844,4.3860,0,1.0173,0,1,0,1,0
015906,RANDOLPH FIELD ISD,20,1177,17.7,21.2,46.6,0.3,2.8,0.8,10.6,9.8,5.7,0,1,1,1,1,1,1,1,1,1
015907,SAN ANTONIO ISD,20,53811,6.3,91.2,1.8,0.1,0.2,0,0.4,93.4,10.1,2,0.5353,4.9505,0,0.5482,27.7778,0,0,1,0
015908,SOUTH SAN ANTONIO ISD,20,10007,1.1,96.9,1.6,0.1,0.1,0,0.2,89.7,6.9,1,1.1148,14.4928,0,1.0320,0,0,0,1,0
015909,SOMERSET ISD,20,3934,0.7,86.2,11.8,0.3,0.1,0.1,0.8,78.2,9,2,0.6394,0,0,0.5800,4.2373,0,0,0,0
015910,NORTH EAST ISD,20,67986,7.1,56.9,29.1,0.3,3.6,0.2,2.9,46.5,8.8,127,1.3208,1.8790,1.3308,1.0379,1.0282,0,0.2187,0,0.2715
015911,EAST CENTRAL ISD,20,9689,8,71.3,19.2,0.1,0.3,0.1,1.1,66,10.5,10,1.5152,0.9524,1.2500,0.9818,0.5208,0,0,0,9.0909
015912,SOUTHWEST ISD,20,13275,2.9,90.5,5.2,0.1,0.4,0.1,0.8,84,9.9,2,0.5952,5.0505,17.2414,0.5525,0,0,0,0,0
015913,LACKLAND ISD,20,931,16.4,27.1,41,0.3,2.9,0.9,11.4,35.4,10.3,0,1,1,1,1,1,1,1,1,1
015914,FT SAM HOUSTON ISD,20,1542,19.7,28,39.2,0.6,2.3,1.2,9.1,32.9,11.9,1,3.0395,0,0,3.5714,0,0,0,0,0
015915,NORTHSIDE ISD,20,101549,6.1,68.8,18.8,0.1,3,0.3,2.8,52.3,10.9,50,1.4914,3.1193,0.3279,1.1919,0.6383,0,0.6667,0,0.7143
015916,JUDSON ISD,20,22928,23.2,54.8,16.4,0.3,1.8,0.3,3.2,70.5,9.7,3,0.4728,3.4364,1.4368,0.6083,0,0,0,0,10.4167
015917,SOUTHSIDE ISD,20,5150,0.9,90.3,8.1,0,0.3,0,0.4,80.1,9.6,6,0.2081,1.7361,0,1.1074,0,1,0,1,0
016901,JOHNSON CITY ISD,13,707,0.1,27.7,68.9,0.7,0.3,0,2.3,38.8,9.2,0,1,1,1,1,1,1,1,1,1
016902,BLANCO ISD,13,970,1,37,59.9,0.3,0,0,1.8,51.3,9.1,0,1,1,1,1,1,1,1,1,1
017901,BORDEN COUNTY ISD,17,256,0.8,15.2,76.2,1.6,0,0,6.3,23.4,6.6,0,1,1,1,1,1,1,1,1,1
018901,CLIFTON ISD,12,1039,2.8,32.9,58.9,0.8,1,0,3.7,60,10.4,0,1,1,1,1,1,1,1,1,1
018902,MERIDIAN ISD,12,523,4,32.1,59.7,0.2,0.4,0,3.6,61.6,10.9,0,1,1,1,1,1,1,1,1,1
018903,MORGAN ISD,12,117,0,65,27.4,1.7,0,0,6,95.7,17.1,0,1,1,1,1,1,1,1,1,1
018904,VALLEY MILLS ISD,12,618,3.4,22.3,70.4,0.6,0.5,0,2.8,56,11,0,1,1,1,1,1,1,1,1,1
018905,WALNUT SPRINGS ISD,12,174,0,59.2,40.2,0,0,0,0.6,86.8,10.9,0,1,1,1,1,1,1,1,1,1
018906,IREDELL ISD,12,135,0,24.4,74.8,0,0,0,0.7,51.9,9.6,0,1,1,1,1,1,1,1,1,1
018907,KOPPERL ISD,12,224,0.9,12.1,86.2,0,0,0,0.9,72.3,12.1,0,1,1,1,1,1,1,1,1,1
018908,CRANFILLS GAP ISD,12,123,0,27.6,72.4,0,0,0,0,78,8.1,0,1,1,1,1,1,1,1,1,1
019901,DEKALB ISD,08,822,20.8,11.6,62.4,1.2,0.1,0,3.9,65.2,11.4,0,1,1,1,1,1,1,1,1,1
019902,HOOKS ISD,08,885,13.9,9.6,68.9,0.2,0.2,0.1,7,57.6,10.3,0,1,1,1,1,1,1,1,1,1
019903,MAUD ISD,08,482,7.5,2.1,86.9,0.6,0,0,2.9,52.9,11.6,1,1.8904,8.6207,0,0,1.1507,0,1,1,0
019905,NEW BOSTON ISD,08,1376,22.2,6.4,62.8,0.4,0.5,0.1,7.6,62.8,13,0,1,1,1,1,1,1,1,1,1
019906,REDWATER ISD,08,1130,2.7,3.6,91.5,0.8,0.3,0,1.2,40.4,8.8,0,1,1,1,1,1,1,1,1,1
019907,TEXARKANA ISD,08,7239,45.5,13.2,35.5,0.4,1.1,0.1,4.2,68.5,10.2,1,1.4599,0,2.1978,0,0,0,0,0,0
019908,LIBERTY-EYLAU ISD,08,2672,47.8,5.8,39.8,0.3,0.2,0.4,5.7,73.8,11.4,1,0,0,0,0,0,0,0,0,17.5439
019909,SIMMS ISD,08,515,0.2,3.5,93.6,0,0,0,2.7,55.3,16.1,0,1,1,1,1,1,1,1,1,1
019910,MALTA ISD,08,147,0,5.4,87.1,1.4,0,0,6.1,60.5,10.9,0,1,1,1,1,1,1,1,1,1
019911,RED LICK ISD,08,484,0.8,3.5,92.6,1,0.6,0,1.4,7.2,5.2,0,1,1,1,1,1,1,1,1,1
019912,PLEASANT GROVE ISD,08,2020,12.3,6.9,73.5,0.6,3.4,0.3,3.1,27.3,7.6,0,1,1,1,1,1,1,1,1,1
019913,HUBBARD ISD,08,96,0,14.6,80.2,2.1,0,0,3.1,57.3,13.5,0,1,1,1,1,1,1,1,1,1
019914,LEARY ISD,08,110,4.5,7.3,79.1,0.9,0,0,8.2,68.2,5.5,0,1,1,1,1,1,1,1,1,1
020901,ALVIN ISD,04,19667,14.7,43.9,30.4,0.5,8.7,0.1,1.8,50.5,9.2,12,2.4752,0.9058,0.5669,1.8983,0.2741,0,0,0,0
020902,ANGLETON ISD,04,6549,11.5,46.7,38,0.8,0.5,0.1,2.3,60.6,8.1,3,5.5006,4.1152,2.8986,0.7138,0.8772,0,0,0,0
020904,DANBURY ISD,04,773,0.5,21,75.2,0.8,0.4,0,2.2,28.7,8.9,0,1,1,1,1,1,1,1,1,1
020905,BRAZOSPORT ISD,04,12364,8.4,50.8,36.6,0.4,1.5,0.1,2.2,57.3,8.5,2,0.8726,5.8824,0,0.9843,1.3661,0,0,0,0
020906,SWEENY ISD,04,1886,15.5,21.3,57.8,0.4,0.3,0.1,4.6,48.9,7.8,1,2.0450,0,0,0,1.7301,0,0,0,0
020907,COLUMBIA-BRAZORIA ISD,04,3042,11.2,27.8,57.9,0.2,0.3,0,2.5,53.3,8.5,2,0.9381,0,0,1.7986,0.8636,0,0,1,0
020908,PEARLAND ISD,04,19964,16.1,29.7,41.1,0.5,9.8,0.1,2.8,27.8,8.8,19,1.5146,2.9904,0.3269,1.5949,1.0245,0,0,0,1.8797
020910,DAMON ISD,04,187,1.6,47.6,47.6,0,0.5,0,2.7,80.7,9.1,0,1,1,1,1,1,1,1,1,1
021803,BRAZOS SCHOOL FOR INQUIRY & CREATI,06,478,50,42.9,6.1,0,0.4,0,0.6,93.5,7.5,0,1,1,1,1,1,1,1,1,1
021805,ARROW ACADEMY,06,927,66.6,31.8,0.8,0,0.3,0.1,0.4,83.6,4.4,0,1,1,1,1,1,1,1,1,1
021901,COLLEGE STATION ISD,06,11607,13.9,21.4,53.6,0.3,7.7,0.1,3,34.5,8.3,1,2.8986,0,0,0,1.8657,0,0,0,0
021902,BRYAN ISD,06,15723,19.7,53.5,24.9,0.2,0.4,0.1,1.2,74,7.7,4,0.3378,3.2468,1.2690,0.4673,1.0040,0,0,0,20.8333
