DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total IN SCHOOL SUSPENSIONS,ratio ECO. DISADV. IN SCHOOL SUSPENSIONS vs average,ratio SPEC. ED. IN SCHOOL SUSPENSIONS vs average,ratio BLACK OR AFRICAN AMERICAN IN SCHOOL SUSPENSIONS vs average,ratio HISPANIC/LATINO IN SCHOOL SUSPENSIONS vs average,ratio WHITE IN SCHOOL SUSPENSIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT IN SCHOOL SUSPENSIONS vs average,ratio ASIAN IN SCHOOL SUSPENSIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC IN SCHOOL SUSPENSIONS vs average,ratio TWO OR MORE RACES IN SCHOOL SUSPENSIONS vs average
016901,JOHNSON CITY ISD,13,707,0.1,27.7,68.9,0.7,0.3,0,2.3,38.8,9.2,144,1.4497,1.5097,0,0.5265,1.0986,5.9524,0,1,2.4155
016902,BLANCO ISD,13,970,1,37,59.9,0.3,0,0,1.8,51.3,9.1,106,2.2803,1.6587,0,0.0255,1.6380,0,1,1,0.5241
017901,BORDEN COUNTY ISD,17,256,0.8,15.2,76.2,1.6,0,0,6.3,23.4,6.6,1,0,0,0,0,1.3123,0,1,1,0
018901,CLIFTON ISD,12,1039,2.8,32.9,58.9,0.8,1,0,3.7,60,10.4,3,0.5556,3.2051,0,1.0132,0.5659,0,0,1,9.0090
018902,MERIDIAN ISD,12,523,4,32.1,59.7,0.2,0.4,0,3.6,61.6,10.9,55,1.7119,2.8357,0,0.0566,1.6141,0,0,1,0.5051
018903,MORGAN ISD,12,117,0,65,27.4,1.7,0,0,6,95.7,17.1,1,1.0449,5.8480,1,1.5385,0,0,1,1,0
018904,VALLEY MILLS ISD,12,618,3.4,22.3,70.4,0.6,0.5,0,2.8,56,11,42,1.5306,0.2165,0.7003,0.1068,1.3528,0,0,1,0
018905,WALNUT SPRINGS ISD,12,174,0,59.2,40.2,0,0,0,0.6,86.8,10.9,20,0.0576,0.4587,1,1.5203,0.1244,1,1,1,0
018906,IREDELL ISD,12,135,0,24.4,74.8,0,0,0,0.7,51.9,9.6,0,1,1,1,1,1,1,1,1,1
018907,KOPPERL ISD,12,224,0.9,12.1,86.2,0,0,0,0.9,72.3,12.1,76,1.2193,0.6525,0,0.1087,1.1296,1,1,1,1.4620
018908,CRANFILLS GAP ISD,12,123,0,27.6,72.4,0,0,0,0,78,8.1,11,0.1166,1.1223,1,0,1.3812,1,1,1,1
019901,DEKALB ISD,08,822,20.8,11.6,62.4,1.2,0.1,0,3.9,65.2,11.4,77,1.5138,2.7341,2.4975,0.1120,0.7284,0,0,1,0.3330
019902,HOOKS ISD,08,885,13.9,9.6,68.9,0.2,0.2,0.1,7,57.6,10.3,108,1.2056,1.6181,1.9318,0.8681,0.8466,0,0,0,0.9259
019903,MAUD ISD,08,482,7.5,2.1,86.9,0.6,0,0,2.9,52.9,11.6,111,1.6179,2.0193,0.1201,0.4290,1.1093,1.5015,1,1,0.3107
019905,NEW BOSTON ISD,08,1376,22.2,6.4,62.8,0.4,0.5,0.1,7.6,62.8,13,287,1.2706,1.7690,1.7422,0.0544,0.8711,0.8711,0,0,0.7794
019906,REDWATER ISD,08,1130,2.7,3.6,91.5,0.8,0.3,0,1.2,40.4,8.8,85,1.8346,2.6738,0.4357,0.3268,1.0543,1.4706,0,1,0
