DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP
018907,KOPPERL ISD,12,224,0.9,12.1,86.2,0,0,0,0.9,72.3,12.1
018908,CRANFILLS GAP ISD,12,123,0,27.6,72.4,0,0,0,0,78,8.1
019901,DEKALB ISD,08,822,20.8,11.6,62.4,1.2,0.1,0,3.9,65.2,11.4
019902,HOOKS ISD,08,885,13.9,9.6,68.9,0.2,0.2,0.1,7,57.6,10.3
019903,MAUD ISD,08,482,7.5,2.1,86.9,0.6,0,0,2.9,52.9,11.6
019905,NEW BOSTON ISD,08,1376,22.2,6.4,62.8,0.4,0.5,0.1,7.6,62.8,13
019906,REDWATER ISD,08,1130,2.7,3.6,91.5,0.8,0.3,0,1.2,40.4,8.8
019907,TEXARKANA ISD,08,7239,45.5,13.2,35.5,0.4,1.1,0.1,4.2,68.5,10.2
019908,LIBERTY-EYLAU ISD,08,2672,47.8,5.8,39.8,0.3,0.2,0.4,5.7,73.8,11.4
019909,SIMMS ISD,08,515,0.2,3.5,93.6,0,0,0,2.7,55.3,16.1
019910,MALTA ISD,08,147,0,5.4,87.1,1.4,0,0,6.1,60.5,10.9
019911,RED LICK ISD,08,484,0.8,3.5,92.6,1,0.6,0,1.4,7.2,5.2
019912,PLEASANT GROVE ISD,08,2020,12.3,6.9,73.5,0.6,3.4,0.3,3.1,27.3,7.6
019913,HUBBARD ISD,08,96,0,14.6,80.2,2.1,0,0,3.1,57.3,13.5
019914,LEARY ISD,08,110,4.5,7.3,79.1,0.9,0,0,8.2,68.2,5.5
020901,ALVIN ISD,04,19667,14.7,43.9,30.4,0.5,8.7,0.1,1.8,50.5,9.2
020902,ANGLETON ISD,04,6549,11.5,46.7,38,0.8,0.5,0.1,2.3,60.6,8.1
020904,DANBURY ISD,04,773,0.5,21,75.2,0.8,0.4,0,2.2,28.7,8.9
020905,BRAZOSPORT ISD,04,12364,8.4,50.8,36.6,0.4,1.5,0.1,2.2,57.3,8.5
020906,SWEENY ISD,04,1886,15.5,21.3,57.8,0.4,0.3,0.1,4.6,48.9,7.8
