DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total DAEP PLACEMENTS,ratio ECO. DISADV. DAEP PLACEMENTS vs average,ratio SPEC. ED. DAEP PLACEMENTS vs average,ratio BLACK OR AFRICAN AMERICAN DAEP PLACEMENTS vs average,ratio HISPANIC/LATINO DAEP PLACEMENTS vs average,ratio WHITE DAEP PLACEMENTS vs average,ratio AMERICAN INDIAN OR ALASKA NAT DAEP PLACEMENTS vs average,ratio ASIAN DAEP PLACEMENTS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC DAEP PLACEMENTS vs average,ratio TWO OR MORE RACES DAEP PLACEMENTS vs average
014907,ROGERS ISD,12,862,2.7,27.5,68,0.5,0.5,0.1,0.8,49.7,7.2,2,1.0060,6.9444,0,1.8182,0.7353,0,0,0,0
014908,SALADO ISD,12,1465,1,20.1,75,0.9,0.9,0.1,2.1,27.5,5.9,8,0.4545,2.1186,0,0.6219,1.0000,0,0,0,5.9524
014909,TEMPLE ISD,12,8644,27.9,40.3,26.7,0.5,1.6,0.1,3,76.8,8.8,288,1.2252,1.5783,1.7672,0.8013,0.6502,0.6944,0.2170,0,0.1157
014910,TROY ISD,12,1434,1.5,23.7,72.4,0.5,0.6,0.1,1.2,48,9.3,2,1.0417,5.3763,0,2.1097,0.6906,0,0,0,0
015801,POR VIDA ACADEMY,20,303,2.6,89.1,7.6,0,0,0,0.7,69.6,17.2,0,1,1,1,1,1,1,1,1,1
015802,GEORGE GERVIN ACADEMY,20,1313,30.1,63.1,4.6,0.1,0.5,0.1,1.6,97.7,3,0,1,1,1,1,1,1,1,1,1
015803,HIGGS CARTER KING GIFTED & TALENTE,20,485,13.4,82.9,2.1,0.4,0,0.2,1,94.6,5.8,0,1,1,1,1,1,1,1,1,1
015805,NEW FRONTIERS CHARTER SCHOOL,20,615,1.3,96.3,2.3,0,0,0,0.2,89.3,8.8,0,1,1,1,1,1,1,1,1,1
015806,SCHOOL OF EXCELLENCE IN EDUCATION,20,1384,31.6,62.5,3.5,0,0.1,0.4,2,92.6,6.8,1,1.0799,0,0,1.6000,0,1,0,0,0
015807,SOUTHWEST PREPARATORY SCHOOL,20,627,11.5,81.7,6.2,0,0.2,0,0.5,77,12.8,2,0.6494,0,0,0.6120,8.0645,1,0,1,0
015808,JOHN H WOOD JR PUBLIC CHARTER DIST,20,489,23.5,36,35.6,1.6,0.2,0.2,2.9,100,40.9,0,1,1,1,1,1,1,1,1,1
015809,BEXAR COUNTY ACADEMY,20,505,4.4,91.3,3.8,0,0.4,0,0.2,35,11.5,0,1,1,1,1,1,1,1,1,1
015814,POSITIVE SOLUTIONS CHARTER SCHOOL,20,183,1.6,95.6,2.2,0,0,0,0.5,89.6,13.7,0,1,1,1,1,1,1,1,1,1
015815,RADIANCE ACADEMY OF LEARNING,20,556,10.4,69.6,14,0,2.2,0,3.8,75.7,6.3,0,1,1,1,1,1,1,1,1,1
015816,ACADEMY OF CAREERS AND TECHNOLOGIE,20,182,10.4,76.4,12.1,1.1,0,0,0,28.6,8.8,0,1,1,1,1,1,1,1,1,1
015819,SHEKINAH RADIANCE ACADEMY,20,798,33.5,26.9,34,0.4,0.5,0.3,4.5,69.9,6.1,0,1,1,1,1,1,1,1,1,1
015820,SAN ANTONIO SCHOOL FOR INQUIRY & C,20,408,3.2,82.6,12.5,0.2,0.5,0,1,90.2,12.5,0,1,1,1,1,1,1,1,1,1
015822,JUBILEE ACADEMIC CENTER,20,2991,5.8,84.5,8.5,0,0.5,0,0.7,76.1,6.6,0,1,1,1,1,1,1,1,1,1
015823,SAN ANTONIO TECHNOLOGY ACADEMY,20,62,1.6,93.5,3.2,0,1.6,0,0,91.9,12.9,0,1,1,1,1,1,1,1,1,1
015825,LIGHTHOUSE CHARTER SCHOOL,20,247,4.9,89.1,6.1,0,0,0,0,89.9,8.1,0,1,1,1,1,1,1,1,1,1
