DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total OUT OF SCHOOL SUSPENSIONS,ratio ECO. DISADV. OUT OF SCHOOL SUSPENSIONS vs average,ratio SPEC. ED. OUT OF SCHOOL SUSPENSIONS vs average,ratio BLACK OR AFRICAN AMERICAN OUT OF SCHOOL SUSPENSIONS vs average,ratio HISPANIC/LATINO OUT OF SCHOOL SUSPENSIONS vs average,ratio WHITE OUT OF SCHOOL SUSPENSIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT OUT OF SCHOOL SUSPENSIONS vs average,ratio ASIAN OUT OF SCHOOL SUSPENSIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC OUT OF SCHOOL SUSPENSIONS vs average,ratio TWO OR MORE RACES OUT OF SCHOOL SUSPENSIONS vs average
057912,IRVING ISD,10,35259,12.8,71.7,9.6,1.3,3.3,0.2,1.2,80.6,7.4,3589,1.0516,2.4926,1.9526,0.8398,1.1958,0.9216,0.1858,0.6966,1.1377
057913,LANCASTER ISD,10,6820,78,17.9,2.8,0.7,0.2,0,0.4,83.9,8.7,1960,1.0301,1.8590,1.1846,0.3449,0.3644,0.4373,0.2551,1,0.1276
057914,MESQUITE ISD,10,39806,24.5,53,18,0.6,1.8,0.1,1.9,70.7,9.9,2140,1.1791,2.4686,2.0027,0.6066,0.8853,1.1682,0.0260,0.4673,1.0821
057916,RICHARDSON ISD,10,38169,22.3,40,27.8,0.4,6.9,0.1,2.5,57.7,10.4,2810,1.4358,2.6040,2.3906,0.8621,0.2957,0.0890,0.1496,0.3559,1.1530
057919,SUNNYVALE ISD,10,1366,6,9.6,56.9,0.2,23.9,0.1,3.3,10.8,8.1,26,1.7806,7.5973,0.6410,0.4006,1.5547,0,0.1609,0,0
057922,COPPELL ISD,10,11329,4.6,12.8,43.9,0.5,35.2,0.1,2.8,10.2,4.7,108,3.3588,9.4563,3.4219,1.2297,1.0546,1.8519,0.5787,0,0.3307
058902,DAWSON ISD,17,170,0,63.5,34.7,1.2,0,0,0.6,51.8,8.2,1,0,0,1,0,2.8818,0,1,1,0
058905,KLONDIKE ISD,17,256,0.4,33.6,63.7,0.4,1.2,0,0.8,34.8,5.9,2,1.4368,0,0,1.4881,0.7849,0,0,1,0
058906,LAMESA ISD,17,2046,3.6,76.8,17.5,0.6,0.6,0,0.8,73,7.3,62,1.3257,1.5466,4.4803,1.0501,0.0922,0,0,1,2.0161
058909,SANDS CISD,17,212,0.5,43.4,53.8,1.4,0.9,0,0,54.2,8.5,1,1.8450,11.7647,0,0,1.8587,0,0,1,1
059901,HEREFORD ISD,16,4210,0.6,86.9,11.7,0.1,0.3,0,0.4,82.1,6.7,0,1,1,1,1,1,1,1,1,1
059902,WALCOTT ISD,16,145,2.1,78.6,19.3,0,0,0,0,72.4,4.8,0,1,1,1,1,1,1,1,1,1
060902,COOPER ISD,08,791,13.7,8.2,73.3,1.3,0.1,0,3.4,64.2,9.4,2,8.5670,5.3191,3.6496,0,0.6821,0,0,1,0
060914,FANNINDEL ISD,08,200,35,3.5,53,1,1,0,6.5,82.5,11.5,2,0.6061,4.3478,0,0,0.9434,0,0,1,7.6923
061802,TEXAS EDUCATION CENTERS,11,664,13.4,32.8,50,0.2,0.8,0.9,2,50.8,13.4,3,0.6562,2.4876,2.4876,1.0163,0.6667,0,0,0,0
061804,LEADERSHIP PREP SCHOOL,10,425,6.6,9.9,36.9,0.7,43.1,0,2.8,4,4.7,1,0,0,0,10.1010,0,0,0,1,0
061901,DENTON ISD,11,26047,12,30.8,51.6,0.8,2.8,0.1,1.8,42.3,9.6,1562,1.7057,2.5275,2.0540,1.1578,0.6811,1.5205,0.1601,0,1.6005
061902,LEWISVILLE ISD,11,52698,9.4,27.5,47.9,0.4,11.7,0.1,3,30.9,9.6,1551,1.9280,3.3178,3.2649,1.0949,0.6555,1.9342,0.2700,0,1.2895
061903,PILOT POINT ISD,11,1414,2.5,39.5,54.1,0.8,0.6,0.2,2.1,51.3,7.4,40,1.4133,0.3378,1.0000,1.0127,1.0166,0,0,0,1.1905
061905,KRUM ISD,11,1995,1.8,24,71.4,0.7,0.6,0.1,1.5,35.9,9.6,31,2.1565,3.3602,1.7921,0.1344,1.3102,0,0,0,0
061906,PONDER ISD,11,1255,1.5,19.9,75.6,0.7,0.6,0.1,1.6,39.4,7.6,30,1.3536,3.0702,0,1.0050,1.0582,0,0,0,0
061907,AUBREY ISD,11,2060,3.5,16.8,76.7,0.5,0.7,0,1.7,28.4,7.2,2,1.7606,6.9444,0,2.9762,0.6519,0,0,1,0
061908,SANGER ISD,11,2673,2.7,24.1,68.6,1,0.6,0,3,43.7,9.3,36,1.9069,2.9869,1.0288,1.3831,0.8503,2.7778,0,1,0.9259
061910,ARGYLE ISD,11,1947,0.3,10.8,86.3,0.5,0.8,0,1.2,12.6,8.3,1,7.9365,0,0,0,1.1587,0,0,1,0
061911,NORTHWEST ISD,11,18893,6.3,20.1,67.4,0.6,2.9,0.1,2.5,19.1,7.8,770,1.9379,2.4642,1.5873,0.8529,1.0077,1.0823,0.2239,0,1.4545
061912,LAKE DALLAS ISD,11,3952,7.1,26.2,58.5,1.1,2.4,0.2,4.6,41.1,11,88,1.3824,3.3058,1.7606,0.9542,1.0101,1.0331,0.4735,0,0.2470
061914,LITTLE ELM ISD,11,6607,14.7,40.1,39.7,0.4,2,0.1,3,47.9,7.9,167,1.2876,1.6676,1.5887,1.1050,0.7692,0,0.2994,5.9880,0.1996
062901,CUERO ISD,03,2104,13,43.6,40.4,0.1,0.5,0,2.3,56.4,9.5,178,1.9424,3.4299,3.9326,1.0952,0.0139,0,0,1,0.2443
062902,NORDHEIM ISD,03,173,2.9,42.2,54.9,0,0,0,0,44.5,10.4,0,1,1,1,1,1,1,1,1,1
062903,YOAKUM ISD,03,1615,8.4,59.3,30.7,0.1,0.4,0,1.2,70.7,10.5,45,1.2258,1.2698,1.5873,1.2366,0.4343,0,0,1,0
062904,YORKTOWN ISD,03,505,4.6,49.5,45.5,0,0,0,0.4,55,10.3,24,1.5152,6.4725,0.9058,1.8519,0.0916,1,1,1,0
062905,WESTHOFF ISD,03,69,7.2,40.6,52.2,0,0,0,0,50.7,2.9,0,1,1,1,1,1,1,1,1,1
062906,MEYERSVILLE ISD,03,116,0,15.5,84.5,0,0,0,0,26.7,8.6,0,1,1,1,1,1,1,1,1,1
063903,SPUR ISD,17,292,2.4,44.5,51,0,0,0,2.1,53.8,10.3,3,0.6196,0,13.8889,0.7491,0.6536,1,1,1,0
063906,PATTON SPRINGS ISD,17,105,0,28.6,71.4,0,0,0,0,85.7,11.4,0,1,1,1,1,1,1,1,1,1
064903,CARRIZO SPRINGS CISD,20,2455,0.5,93,5.6,0.1,0.6,0,0.2,75.2,7.1,185,1.2795,2.0556,1.0811,1.0578,0.0965,5.4054,0,1,0
065901,CLARENDON ISD,16,458,10.5,13.8,71.6,0,0.7,0.7,2.8,52.4,9.4,2,0.9542,0,4.7619,0,0.6983,1,0,0,0
065902,HEDLEY ISD,16,112,1.8,19.6,75.9,1.8,0,0,0.9,74.1,14.3,1,1.3495,6.9930,0,0,1.3175,0,1,1,0
066005,RAMIREZ CSD,02,24,0,95.8,4.2,0,0,0,0,100,0,0,1,1,1,1,1,1,1,1,1
066901,BENAVIDES ISD,02,366,0,99.2,0.8,0,0,0,0,76.2,10.7,1,0,0,1,1.0081,0,1,1,1,1
066902,SAN DIEGO ISD,02,1345,0.3,98.4,1.3,0,0,0,0,77.2,7.5,12,0.1079,1.1111,0,1.0163,0,1,1,1,1
066903,FREER ISD,02,833,0.2,88.7,9.7,0.4,0.5,0,0.5,67.8,11.3,37,1.3952,2.6309,0,1.0665,0.2786,6.7568,0,1,0
067902,CISCO ISD,14,878,0.3,17.9,78,0.3,0.5,0,3,61.6,9.5,23,0.0706,5.4920,14.4928,0.2429,1.1148,0,0,1,1.4493
067903,EASTLAND ISD,14,1077,1.6,26.6,69.8,0.2,1.1,0,0.6,51.5,8.3,0,1,1,1,1,1,1,1,1,1
067904,GORMAN ISD,14,313,0.6,37.7,59.4,0,0,0,2.2,67.1,12.5,2,0.7452,4.0000,0,1.3263,0.8418,1,1,1,0
067907,RANGER ISD,14,469,2.8,22.8,71.2,1.3,0.4,0,1.5,76.3,11.5,14,2.0595,0.6211,2.5510,0.3133,1.1035,0,0,1,4.7619
067908,RISING STAR ISD,14,180,0.6,19.4,78.3,0,0.6,0,1.1,80.6,8.9,2,3.1017,5.6180,0,0,0.6386,1,0,1,45.4545
068801,RICHARD MILBURN ACADEMY (ECTOR COU,18,712,3.8,65.2,29.9,0.4,0,0.1,0.6,60.4,9.7,35,1.0880,0.2946,6.0150,0.7011,1.0511,0,1,0,0
068802,COMPASS ACADEMY CHARTER SCHOOL,18,465,2.2,29,66.7,0,0.2,0,1.9,29,4.1,2,0,12.1951,22.7273,0,0.7496,1,0,1,0
068901,ECTOR COUNTY ISD,18,30796,4,72.1,21.5,0.4,0.9,0.2,1,50.8,7.1,4830,1.3132,2.4670,2.4586,0.9689,0.8619,0.6729,0.0230,0.1035,1.4700
069901,ROCKSPRINGS ISD,15,275,0,82.5,17.5,0,0,0,0,74.5,8.7,0,1,1,1,1,1,1,1,1,1
069902,NUECES CANYON CISD,15,291,0,47.8,50.5,0.3,0,0,1.4,71.1,10.3,0,1,1,1,1,1,1,1,1,1
070801,WAXAHACHIE FAITH FAMILY ACADEMY,10,414,19.1,35.5,44.4,0.2,0,0,0.7,43.5,6.3,4,0.5747,0,1.3089,0.7042,0.5631,0,1,1,35.7143
070901,AVALON ISD,10,337,1.5,36.2,61.7,0,0,0.3,0.3,60.8,11.6,0,1,1,1,1,1,1,1,1,1
070903,ENNIS ISD,10,5691,11.9,55.9,30.3,0.1,0.4,0.3,1,70,9.5,315,1.5057,3.5088,3.2546,1.0790,0.0105,0,0,1.0582,0.3175
070905,FERRIS ISD,10,2470,7.1,68.3,23,0.7,0.2,0,0.6,80.1,8.8,49,1.0446,3.9425,2.5870,0.8964,0.6211,2.9155,0,1,3.4014
070907,ITALY ISD,10,513,13.1,31,52,0.2,0.8,0,2.9,57.1,9.2,23,1.4467,0.4726,4.3146,0.1403,0.6689,0,0,1,1.4993
070908,MIDLOTHIAN ISD,10,7694,4.8,20.6,70.6,0.5,1.3,0.1,2,23.5,9,117,1.6730,2.5641,0.1781,1.2862,1.0169,0,0,0,0.4274
070909,MILFORD ISD,10,246,21.1,32.9,39,0.4,0,0,6.5,76,10.6,3,0.4386,3.1447,1.5798,1.0132,0.8547,0,1,1,0
070910,PALMER ISD,10,1157,1.5,41.6,54.7,0.3,0.3,0,1.6,56.6,13.6,3,0.5889,17.1569,22.2222,0.8013,0.6094,0,0,1,0
070911,RED OAK ISD,10,5571,17.8,32.3,46.3,0.7,0.8,0.1,2,43.9,10.1,208,1.2375,1.3804,1.9447,0.8633,0.7892,0.6868,0,0,0.2404
070912,WAXAHACHIE ISD,10,7795,11.9,35.4,48.7,0.4,0.5,0.1,3,50,9.9,620,1.4129,3.1606,2.3990,0.7973,0.8214,2.8226,0,0,0.6989
070915,MAYPEARL ISD,10,1036,2.1,16.5,78.8,0.4,0.7,0.3,1.3,39.5,11,3,5.0633,21.2121,0,2.0202,0.4230,0,0,0,25.6410
071801,BURNHAM WOOD CHARTER SCHOOL DISTRI,19,914,3.1,81.3,11.3,0.1,3.3,0,1,45.8,4.2,3,4.3668,7.9365,0,0.4100,2.9499,0,10.1010,1,0
071803,PASO DEL NORTE ACADEMY CHARTER DIS,19,306,0,96.4,3.6,0,0,0,0,94.8,3.3,0,1,1,1,1,1,1,1,1,1
071804,EL PASO ACADEMY,19,417,1.4,93.5,4.3,0,0.2,0.5,0,68.3,7.2,1,1.4641,0,0,1.0695,0,1,0,0,1
071806,HARMONY SCIENCE ACAD (EL PASO),19,1731,3.2,86.2,9.1,0.4,0,0.2,0.9,74.4,5.4,138,1.1396,1.6103,0.2264,1.0004,1.3537,1.8116,1,0,0
071807,LA FE PREPARATORY SCHOOL,19,275,0,98.5,1.5,0,0,0,0,93.8,5.8,0,1,1,1,1,1,1,1,1,1
071809,VISTA DEL FUTURO CHARTER SCHOOL,19,255,2.4,87.8,8.6,0,0.8,0,0.4,56.1,5.5,0,1,1,1,1,1,1,1,1,1
071901,CLINT ISD,19,11805,0.8,94.7,3.8,0.2,0.1,0,0.4,85.6,6.3,276,1.0920,1.7253,0.4529,1.0254,0.5721,0,0,1,0.9058
071902,EL PASO ISD,19,61290,3.9,82.8,10.4,0.2,1.1,0.3,1.3,69.7,9.5,5909,1.2660,2.4708,1.4580,1.0252,0.7437,1.1000,0.3231,0.7333,0.6900
071903,FABENS ISD,19,2355,0,98.9,1.1,0,0,0,0,89.3,10.9,45,0.0249,2.8542,1,1.0111,0,1,1,1,1
071904,SAN ELIZARIO ISD,19,4109,0.1,99.3,0.5,0.1,0,0,0,93,7.9,0,1,1,1,1,1,1,1,1,1
071905,YSLETA ISD,19,43007,1.7,92.9,4.5,0.2,0.3,0.1,0.4,80.9,10.4,0,1,1,1,1,1,1,1,1,1
071906,ANTHONY ISD,19,813,0.7,94.2,4.8,0,0,0,0.2,100,8.5,2,13.5000,35.2941,0,0.5308,10.4167,1,1,1,0
071907,CANUTILLO ISD,19,5977,0.8,94.6,3.9,0.1,0.3,0,0.3,74.8,9.3,220,1.0999,1.4663,0.5682,0.9994,1.1655,0,0,1,0
071908,TORNILLO ISD,19,1336,0,99,0.9,0,0,0,0.1,94.4,5,0,1,1,1,1,1,1,1,1,1
071909,SOCORRO ISD,19,44405,2.2,91.2,5,0.3,0.6,0.2,0.5,72.2,7.8,0,1,1,1,1,1,1,1,1,1
072801,PREMIER HIGH SCHOOLS,11,3373,6.5,61.3,29.7,0.5,0.4,0,1.5,66,7.7,181,0.8790,0.9328,4.3349,0.6219,0.9673,1.1050,1.3812,1,2.5783
072802,ERATH EXCELS ACADEMY INC,11,208,1.4,58.2,38.5,1,0,0,1,87,12,85,1.0548,1.5686,0.8403,0.7884,1.2834,1.1765,1,1,1.1765
072901,THREE WAY ISD,11,61,0,57.4,37.7,0,0,0,4.9,78.7,8.2,0,1,1,1,1,1,1,1,1,1
072902,DUBLIN ISD,11,1179,0.9,58.1,39.2,0.3,0.2,0.1,1.3,76.2,5.6,51,2.1872,3.1513,0,1.6537,0.0500,0,0,0,1.5083
072903,STEPHENVILLE ISD,11,3711,1,30,65.6,0.8,0.9,0,1.8,48.7,7.8,80,1.8480,2.7244,1.2500,1.1250,0.9527,1.5625,0,1,0.6944
072904,BLUFF DALE ISD,11,112,0,8,86.6,1.8,0,0,3.6,20.5,4.5,0,1,1,1,1,1,1,1,1,1
072908,HUCKABAY ISD,11,164,0,17.7,79.3,1.8,0.6,0,0.6,44.5,2.4,3,0.7491,13.8889,1,1.8832,0.4203,18.5185,0,1,0
072909,LINGLEVILLE ISD,11,219,0,48.4,49.3,0,0,0,2.3,56.2,5.9,1,1.7794,0,1,0,2.0284,1,1,1,0
072910,MORGAN MILL ISD,11,114,0,13.2,84.2,0,0,0,2.6,43,4.4,0,1,1,1,1,1,1,1,1,1
073901,CHILTON ISD,12,509,17.3,56.8,23.6,0.2,0,0.2,2,80.4,11.6,32,0.0389,1.6164,1.9870,1.0453,0.1324,0,1,0,1.5625
073903,MARLIN ISD,12,965,56.6,33.1,8.5,0.3,0.3,0.1,1.1,88.4,14.1,194,1.1545,1.9376,1.3661,0.6541,0.0606,0,0,0,0.4686
073904,WESTPHALIA ISD,12,158,0.6,24.1,73.4,0.6,0,0,1.3,17.7,8.9,0,1,1,1,1,1,1,1,1,1
073905,ROSEBUD-LOTT ISD,12,634,13.4,36.1,47.3,0.5,0,0,2.7,68.5,12,64,1.6423,2.0833,2.4487,0.0433,1.3544,0,1,1,0.5787
074903,BONHAM ISD,10,1949,8.1,20.8,65.6,1.4,0.4,0.1,3.7,68.8,12.1,122,1.2748,1.7613,1.6191,0.7487,0.9371,0,0,0,2.6584
074904,DODD CITY ISD,10,359,1.7,5.8,90.3,0.3,0,0,1.9,44.6,7.8,2,11.2108,6.4103,0,0,0.5537,166.6667,1,1,0
074905,ECTOR ISD,10,269,2.2,12.3,82.2,1.5,1.1,0,0.7,48.7,13.8,0,1,1,1,1,1,1,1,1,1
074907,HONEY GROVE ISD,10,586,12.1,17.2,64.5,1.7,0.2,0,4.3,63,10.8,12,0.1323,3.8580,5.5096,0.4845,0.1292,4.9020,0,1,1.9380
074909,LEONARD ISD,10,884,4.1,16.7,74.7,1.7,0.3,0,2.5,58.9,9.4,1,1.6978,0,0,5.9880,0,0,0,1,0
074911,SAVOY ISD,10,269,0,6.3,84.8,1.9,0.7,0,6.3,50.6,11.9,5,0.3953,1.6807,1,0,1.1792,0,0,1,0
074912,TRENTON ISD,10,534,2.2,15.4,78.5,1.5,0.6,0,1.9,42.1,9.4,4,0.5938,2.6596,0,1.6234,0.3185,16.6667,0,1,13.1579
074917,SAM RAYBURN ISD,10,498,1,9,86.3,0.6,0,0,3,45,9,1,2.2222,11.1111,0,0,1.1587,0,1,1,0
075901,FLATONIA ISD,13,609,3.9,55.5,38.8,0.2,0.7,0,1,58.5,9,2,0.8547,0,0,0.9009,1.2887,0,0,1,0
075902,LA GRANGE ISD,13,1901,10.8,35.7,50.5,0.3,0.6,0,2.2,51.5,7.6,2,5.8252,6.5789,4.6296,0,0.9901,0,0,1,0
075903,SCHULENBURG ISD,13,706,14,38.7,45,0.6,0.4,0,1.3,61.3,9.3,53,1.7237,3.4490,4.1779,0.9751,0.0419,0,0,1,1.4514
075906,FAYETTEVILLE ISD,13,211,1.4,10.4,87.7,0,0,0,0.5,27,8.5,0,1,1,1,1,1,1,1,1,1
075908,ROUND TOP-CARMINE ISD,13,284,4.6,16.2,74.6,0.7,0,0,3.9,31.7,10.9,3,1.0515,0,7.2464,2.0576,0.4468,0,1,1,0
076903,ROBY CISD,14,238,1.7,31.9,62.2,0,0,0,4.2,54.2,9.2,2,0.9225,0,0,1.5674,0.8039,1,1,1,0
076904,ROTAN ISD,14,302,3,49,45.4,0.3,0.3,0,2,64.2,8.6,2,0.7788,5.8140,0,1.0204,1.1013,0,0,1,0
077901,FLOYDADA ISD,17,746,3.6,79.2,16.8,0,0,0,0.4,72.3,7.6,28,0.0494,3.2895,0.9921,1.1724,0.2126,1,1,1,0
077902,LOCKNEY ISD,17,505,1.8,76.2,21.6,0.2,0,0,0.2,69.3,9.3,0,1,1,1,1,1,1,1,1,1
078901,CROWELL ISD,09,222,3.6,30.6,63.1,0,1.4,0,1.4,63.5,15.3,3,0.5249,2.1786,9.2593,1.0893,0.5283,1,0,1,0
079901,LAMAR CISD,04,27024,18.6,45.4,28.3,0.3,5.9,0.1,1.5,47.6,8.3,1442,1.5953,3.3671,1.8642,1.0952,0.5146,0.2312,0.1528,0,0.0462
079906,NEEDVILLE ISD,04,2825,3.8,43.1,51.3,0.2,0.4,0,1.2,37.6,8.4,16,1.9947,0.7440,1.6447,2.0302,0.1218,0,0,1,0
079907,FORT BEND ISD,04,70512,29.2,26.4,18.6,0.4,22.9,0.1,2.4,35.9,6.3,7752,1.9346,2.9649,2.3012,0.8155,0.3606,0.3870,0.1127,0,0.7632
079910,STAFFORD MSD,04,3479,40.4,44.4,4.8,0.3,7.9,0.1,2.1,69,8.2,511,1.0976,1.7183,1.3757,0.8462,0.8969,0.6523,0.0248,1.9569,0.9319
080901,MOUNT VERNON ISD,08,1646,4.7,25.4,65.4,0.3,1.1,0,3.1,55.3,9.2,3,0.6028,3.6232,0,1.3123,0.5097,0,0,1,10.7527
081902,FAIRFIELD ISD,12,1762,16.2,21.2,58.6,0.5,1,0.2,2.4,49.1,7.2,75,1.8194,3.8889,2.3868,0.0629,1.0011,0,0,0,0.5556
081904,TEAGUE ISD,12,1270,14.1,26.3,56.9,0.5,0.2,0.1,1.9,53.6,6.7,44,1.6113,6.7843,4.3520,0.0864,0.5991,0,0,0,1.1962
081905,WORTHAM ISD,12,492,14.2,14.4,68.9,0,0.6,0,1.8,53,8.7,44,1.5437,2.3511,1.9206,0.1578,0.9566,1,3.7879,1,1.2626
081906,DEW ISD,12,145,6.2,12.4,75.9,0,1.4,0,4.1,48.3,6.2,2,1.0352,0,0,0,0.6588,1,35.7143,1,0
082902,DILLEY ISD,20,1006,0.1,90.9,8.4,0,0.5,0,0.1,79.5,7.2,56,0.9659,2.4802,0,0.9037,2.1259,1,0,1,0
082903,PEARSALL ISD,20,2318,0.3,93,6.1,0.2,0.2,0,0.1,86,8.4,180,0.9884,2.4471,0,1.0335,0.6375,0,0,1,0
083901,SEAGRAVES ISD,17,590,8.1,80.2,11.2,0.2,0.2,0,0.2,63.9,6.8,2,0,7.3529,0,0.6234,4.4643,0,0,1,0
083902,LOOP ISD,17,118,1.7,58.5,39.8,0,0,0,0,54.2,5.9,0,1,1,1,1,1,1,1,1,1
083903,SEMINOLE ISD,17,2725,1.1,45.8,51.7,0.1,0.5,0.1,0.7,46.9,7.6,75,2.0753,3.6842,0,2.1252,0.0258,13.3333,0,0,0
084801,MAINLAND PREPARATORY ACADEMY,04,412,76.2,16,4.4,0.2,0.7,0,2.4,84.5,1,42,0.0282,2.3810,1.2498,0.1488,0.5411,0,0,1,0
084802,ODYSSEY ACADEMY INC,04,708,11,68.2,17.2,0.7,0.4,0,2.4,84.9,8.6,3,0.3926,19.3798,3.0303,0.4888,0,0,0,1,13.8889
084804,AMBASSADORS PREPARATORY ACADEMY,04,320,61.9,26.6,7.8,0.3,2.2,0,1.3,90.6,5.3,0,1,1,1,1,1,1,1,1,1
084805,PREMIER LEARNING ACADEMY,04,418,52.6,27.3,17.5,0.2,1,0,1.4,77.3,6.2,33,0.9408,0,1.1522,0.5550,1.3853,0,0,1,0
084901,DICKINSON ISD,04,9966,16.9,47.2,31,0.4,2.5,0.1,2.1,63.8,8.9,1013,1.2254,2.6953,1.8341,0.7634,0.8980,2.9615,0.2369,0,1.5983
084902,GALVESTON ISD,04,6796,23.9,44.9,26.9,0.7,2.1,0.1,1.5,73.6,7.1,1600,1.2644,1.8838,2.2202,0.6459,0.5762,0.0893,0.0298,0.6250,1.5000
084903,HIGH ISLAND ISD,05,148,2,7.4,81.1,0,1.4,0,8.1,64.2,8.1,0,1,1,1,1,1,1,1,1,1
084904,LA MARQUE ISD,04,2523,69.2,19.5,7.6,2.1,0.3,0.1,1.3,78.1,10.5,865,1.0465,1.5194,1.3098,0.4624,0.0152,0.0551,0,0,0.0889
084906,TEXAS CITY ISD,04,6069,19.9,42.7,34.8,0.9,0.6,0.2,0.9,67.4,8.2,712,1.2920,2.0896,1.9056,0.8322,0.6700,0.1561,0,0.7022,3.2772
084908,HITCHCOCK ISD,04,1528,46.1,27.7,23.2,0.3,0.4,0.1,2.3,87.7,8.5,107,1.2148,2.1990,1.5205,0.9784,0.0403,0,0,9.3458,0.4063
084909,SANTA FE ISD,04,4606,0.4,17.7,79.3,0.5,0.7,0.1,1.3,35.4,10.5,257,1.6927,2.4829,0.9728,0.9453,1.0304,0.7782,0,3.8911,0.2993
084910,CLEAR CREEK ISD,04,39808,8.2,28,50.1,0.2,9.8,0.1,3.5,27.5,9.5,1263,1.8858,2.7420,2.3946,1.0689,0.9198,0.3959,0.0081,0.7918,1.1763
084911,FRIENDSWOOD ISD,04,6045,2,15.4,74.2,0.3,6.1,0.1,2,8.5,7.9,32,2.5735,6.3291,0,1.4205,1.0529,0,0,0,0
085902,POST ISD,17,949,6.4,60.1,30,0.9,0.1,0,2.4,68.6,10.4,19,1.3043,4.5547,0.8224,1.4887,0.1754,0,0,1,0
085903,SOUTHLAND ISD,17,160,3.1,51.3,45,0,0,0,0.6,74.4,9.4,2,0.6720,5.3191,0,0.9747,1.1111,1,1,1,0
086024,DOSS CONSOLIDATED CSD,13,19,0,26.3,73.7,0,0,0,0,0,26.3,0,1,1,1,1,1,1,1,1,1
086901,FREDERICKSBURG ISD,13,2933,0.1,46.5,51.8,0.2,0.3,0.1,1.1,52.6,8.5,52,2.3764,4.5249,0,2.0678,0.0371,0,0,0,1.7483
086902,HARPER ISD,13,592,0.5,13.2,84.8,0.3,0.3,0.2,0.7,39.2,12.2,2,1.2755,4.0984,0,3.7879,0.5896,0,0,0,0
087901,GLASSCOCK COUNTY ISD,18,296,0,48,52,0,0,0,0,43.6,7.4,0,1,1,1,1,1,1,1,1,1
088902,GOLIAD ISD,03,1344,4.9,47.1,45.2,0.2,0.2,0.1,2.3,48.3,9.8,16,1.4234,0.6378,0,1.1943,0.9679,0,0,0,0
089901,GONZALES ISD,13,2764,7.8,67.7,23.8,0.1,0.3,0,0.3,70.7,9.2,101,1.4144,5.7038,0.1269,0.8629,1.6640,0,0,1,3.3003
089903,NIXON-SMILEY CISD,13,1055,0.6,76.6,22.1,0,0,0,0.8,81.3,10.2,27,0.0456,2.1786,0,0.9670,1.1731,1,1,1,0
089905,WAELDER ISD,13,308,13,83.1,3.6,0,0,0,0.3,93.8,9.4,0,1,1,1,1,1,1,1,1,1
090902,LEFORS ISD,16,175,0.6,16,80.6,0,0,0,2.9,45.7,7.4,1,2.1882,0,0,0,1.2407,1,1,1,0
090903,MCLEAN ISD,16,213,1.4,11.7,85.4,0,0,0,1.4,44.1,7.5,0,1,1,1,1,1,1,1,1,1
090904,PAMPA ISD,16,3736,3.1,44,49.7,0.6,0.2,0,2.2,56.2,9.4,215,1.2911,1.9792,3.6009,0.8245,1.0388,0.7752,0,1,0.2114
090905,GRANDVIEW-HOPKINS ISD,16,46,2.2,19.6,76.1,0,0,0,2.2,10.9,4.3,0,1,1,1,1,1,1,1,1,1
091901,BELLS ISD,10,780,0.5,5.9,87.2,2.1,0,0.4,4,37.1,7.9,3,0.8985,25.3165,0,5.6497,0.3823,0,1,0,8.3333
091902,COLLINSVILLE ISD,10,516,2.7,14,81.6,0.2,0,0,1.6,41.3,6.2,0,1,1,1,1,1,1,1,1,1
091903,DENISON ISD,10,4404,11.1,16.4,63.2,2.5,0.8,0.1,5.8,65.1,14.8,347,1.3413,2.6287,2.1809,0.4217,0.9713,0.1153,0.3602,0,1.1925
091905,HOWE ISD,10,1056,0.4,13.1,80.9,1.7,0.6,0.3,3.1,44.4,9.1,15,0.1502,0.7326,16.6667,0.5089,0.9065,0,11.1111,0,2.1505
091906,SHERMAN ISD,10,7137,13.2,36.4,41.9,1.3,2,0.1,5.2,66,11.2,1291,1.2804,3.0845,3.4622,0.5022,0.6249,0.4171,0.0387,0.7746,1.7577
091907,TIOGA ISD,10,295,0.3,29.2,66.4,1.7,1,0,1.4,55.6,8.5,2,0.8993,5.8824,0,1.7123,0.7530,0,0,1,0
091908,VAN ALSTYNE ISD,10,1332,1.7,11.5,84.1,0.9,0.2,0,1.6,29,7.3,3,1.1494,4.5662,19.6078,2.8986,0.3964,0,0,1,0
091909,WHITESBORO ISD,10,1548,0.3,12.9,82,2.5,0.4,0.1,1.9,51.6,9.2,2,0.9690,5.4348,0,3.8760,0.6098,0,0,0,0
091910,WHITEWRIGHT ISD,10,797,5.3,10,79.4,0.3,0.4,0,4.6,46.4,8,2,1.0776,6.2500,0,0,0.6297,0,0,1,10.8696
091913,POTTSBORO ISD,10,1348,0.4,6.2,84.6,3.9,0.8,0,4.2,41.4,9.6,9,0.2684,5.7870,0,1.7921,0.9194,0,0,1,2.6455
091914,S AND S CISD,10,870,0.6,7.7,85.7,1.7,0,0,4.3,50.7,8.5,3,0.6575,3.9216,0,4.3290,0.3890,0,1,1,7.7519
