DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total OUT OF SCHOOL SUSPENSIONS,ratio ECO. DISADV. OUT OF SCHOOL SUSPENSIONS vs average,ratio SPEC. ED. OUT OF SCHOOL SUSPENSIONS vs average,ratio BLACK OR AFRICAN AMERICAN OUT OF SCHOOL SUSPENSIONS vs average,ratio HISPANIC/LATINO OUT OF SCHOOL SUSPENSIONS vs average,ratio WHITE OUT OF SCHOOL SUSPENSIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT OUT OF SCHOOL SUSPENSIONS vs average,ratio ASIAN OUT OF SCHOOL SUSPENSIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC OUT OF SCHOOL SUSPENSIONS vs average,ratio TWO OR MORE RACES OUT OF SCHOOL SUSPENSIONS vs average
015805,NEW FRONTIERS CHARTER SCHOOL,20,615,1.3,96.3,2.3,0,0,0,0.2,89.3,8.8,2,0.5599,153.4091,0,0.5192,21.7391,1,1,1,0
015806,SCHOOL OF EXCELLENCE IN EDUCATION,20,1384,31.6,62.5,3.5,0,0.1,0.4,2,92.6,6.8,265,1.0555,1.4983,1.8271,0.6642,0.1078,1,0,0,0.1887
015807,SOUTHWEST PREPARATORY SCHOOL,20,627,11.5,81.7,6.2,0,0.2,0,0.5,77,12.8,163,1.1154,1.3900,1.6538,0.9762,0.0990,1,0,1,1.2270
015808,JOHN H WOOD JR PUBLIC CHARTER DIST,20,489,23.5,36,35.6,1.6,0.2,0.2,2.9,100,40.9,42,1.1190,1.2225,1.6211,1.5873,0.0669,0,0,0,0.8210
015809,BEXAR COUNTY ACADEMY,20,505,4.4,91.3,3.8,0,0.4,0,0.2,35,11.5,3,0.9524,31.8841,0,0.3651,8.7719,1,0,1,166.6667
015814,POSITIVE SOLUTIONS CHARTER SCHOOL,20,183,1.6,95.6,2.2,0,0,0,0.5,89.6,13.7,1,1.1161,7.2993,0,1.0460,0,1,1,1,0
015815,RADIANCE ACADEMY OF LEARNING,20,556,10.4,69.6,14,0,2.2,0,3.8,75.7,6.3,38,0.0348,2.9240,0.2530,0.8318,2.6316,1,0,1,0.6925
015816,ACADEMY OF CAREERS AND TECHNOLOGIE,20,182,10.4,76.4,12.1,1.1,0,0,0,28.6,8.8,0,1,1,1,1,1,1,1,1,1
015819,SHEKINAH RADIANCE ACADEMY,20,798,33.5,26.9,34,0.4,0.5,0.3,4.5,69.9,6.1,54,1.3776,3.3394,2.0453,1.0326,0.0545,0,0,0,0.4115
015820,SAN ANTONIO SCHOOL FOR INQUIRY & C,20,408,3.2,82.6,12.5,0.2,0.5,0,1,90.2,12.5,2,0.5543,4.0000,0,0.6053,4.0000,0,0,1,0
015822,JUBILEE ACADEMIC CENTER,20,2991,5.8,84.5,8.5,0,0.5,0,0.7,76.1,6.6,82,1.2980,2.7716,0.2103,1.1401,0.1435,1,0,1,1.7422
015823,SAN ANTONIO TECHNOLOGY ACADEMY,20,62,1.6,93.5,3.2,0,1.6,0,0,91.9,12.9,9,1.0881,0.8613,0,1.0695,0,1,0,1,1
015825,LIGHTHOUSE CHARTER SCHOOL,20,247,4.9,89.1,6.1,0,0,0,0,89.9,8.1,13,1.1123,0.9497,0,1.1223,0,1,1,1,1
015826,KIPP SAN ANTONIO,20,1485,2.8,94.7,2,0,0.1,0,0.3,85.9,8,223,1.0911,2.6345,1.6015,0.9802,1.3453,1,0,1,0
015827,SCHOOL OF SCIENCE AND TECHNOLOGY,20,855,13.8,56.1,22.6,0,3.5,0.1,3.9,54.3,6.1,74,1.1946,3.9876,0.4896,1.1803,1.0763,1,0.3861,0,0.3465
015828,HARMONY SCIENCE ACAD (SAN ANTONIO),20,2266,9.3,73.4,13.9,0.3,1.5,0.1,1.5,65.4,5.6,238,1.2849,1.2755,1.3554,1.0075,0.8766,1.4006,0.2801,0,0.2801
015830,BROOKS ACADEMY OF SCIENCE AND ENGI,20,1509,1.9,88.3,8.7,0.2,0.7,0,0.3,57.9,4.6,36,1.1034,0.6039,0,0.9752,1.5964,0,0,1,0
015831,SCHOOL OF SCIENCE AND TECHNOLOGY D,20,1014,6.9,68.1,18.4,0.2,5.1,0.1,1.1,59,5.7,171,1.5165,3.4883,0.0848,1.1850,0.9217,2.9240,0.1147,0,0.5316
015832,CITY CENTER HEALTH CAREERS,20,144,7.6,91,1.4,0,0,0,0,91,6.3,6,1.0989,0,0,1.0989,0,1,1,1,1
015833,HENRY FORD ACADEMY ALAMEDA SCHOOL,20,181,2.2,84.5,10.5,1.7,0,0.6,0.6,38.1,8.8,3,4.3745,3.7879,15.1515,0.3945,3.1746,0,1,0,0
015834,BASIS SAN ANTONIO,20,508,2.8,40,31.1,0.2,21.7,0.2,4.1,5.5,2.4,36,2.5253,6.9444,0.9921,1.4583,1.0718,0,0.1280,0,0.6775
015836,ELEANOR KOLITZ HEBREW LANGUAGE ACA,20,196,1,46.4,46.9,0,0.5,0,5.1,11.2,2.6,0,1,1,1,1,1,1,1,1,1
015901,ALAMO HEIGHTS ISD,20,4815,1.5,39.4,54.8,0.2,2.2,0,2,20.1,6.9,66,2.6383,3.7330,1.0101,1.5382,0.6636,0,0,1,0.7576
015904,HARLANDALE ISD,20,15316,0.4,97.3,2,0.1,0.1,0,0.1,88.2,9.2,2290,1.0343,2.5014,0.1092,1.0080,0.8952,0,0.4367,1,0.4367
015905,EDGEWOOD ISD,20,12059,1,98.3,0.4,0,0.1,0,0.1,98.7,9.5,2049,1.0087,2.6817,1.4641,1.0009,0.1220,1,0.4880,1,0.4880
015906,RANDOLPH FIELD ISD,20,1177,17.7,21.2,46.6,0.3,2.8,0.8,10.6,9.8,5.7,46,1.1091,2.2883,1.9651,0.9229,0.2799,0,0,0,3.0763
015907,SAN ANTONIO ISD,20,53811,6.3,91.2,1.8,0.1,0.2,0,0.4,93.4,10.1,7494,1.0404,2.4746,2.1499,0.9167,1.2973,0.1334,0.0667,1,1.2343
015908,SOUTH SAN ANTONIO ISD,20,10007,1.1,96.9,1.6,0.1,0.1,0,0.2,89.7,6.9,1180,1.0289,2.2845,0.0770,1.0110,1.1123,0,0.8475,1,0.4237
015909,SOMERSET ISD,20,3934,0.7,86.2,11.8,0.3,0.1,0.1,0.8,78.2,9,461,1.1512,2.0728,0.3099,0.9563,1.4339,0,0,2.1692,0.2711
015910,NORTH EAST ISD,20,67986,7.1,56.9,29.1,0.3,3.6,0.2,2.9,46.5,8.8,2134,1.6739,3.0140,3.6894,0.8623,0.6506,1.5620,0.2994,0,1.4704
015911,EAST CENTRAL ISD,20,9689,8,71.3,19.2,0.1,0.3,0.1,1.1,66,10.5,1064,1.2332,2.3093,1.5625,0.9267,1.0426,0,0.3133,0.9398,1.1107
015912,SOUTHWEST ISD,20,13275,2.9,90.5,5.2,0.1,0.4,0.1,0.8,84,9.9,2202,1.1078,2.1514,1.4720,1.0257,0.5327,0.4541,0.1135,0,0.0568
015913,LACKLAND ISD,20,931,16.4,27.1,41,0.3,2.9,0.9,11.4,35.4,10.3,11,2.3112,7.9435,0.5543,0.3355,1.7738,0,0,0,0.7974
015914,FT SAM HOUSTON ISD,20,1542,19.7,28,39.2,0.6,2.3,1.2,9.1,32.9,11.9,105,1.3026,2.7211,1.9338,0.8503,0.9232,0,0.4141,0,0.1047
015915,NORTHSIDE ISD,20,101549,6.1,68.8,18.8,0.1,3,0.3,2.8,52.3,10.9,9266,1.4841,2.4545,1.7497,1.0927,0.5425,1.9426,0.2734,0.6835,0.9751
015916,JUDSON ISD,20,22928,23.2,54.8,16.4,0.3,1.8,0.3,3.2,70.5,9.7,3689,1.1351,2.4341,1.9092,0.7514,0.6959,0.0904,0.3313,0.0904,0.7709
015917,SOUTHSIDE ISD,20,5150,0.9,90.3,8.1,0,0.3,0,0.4,80.1,9.6,926,1.0826,2.7335,3.7197,0.9197,1.5599,1,0,1,2.4298
016901,JOHNSON CITY ISD,13,707,0.1,27.7,68.9,0.7,0.3,0,2.3,38.8,9.2,2,1.2887,5.4348,0,0,0.7257,0,0,1,21.7391
016902,BLANCO ISD,13,970,1,37,59.9,0.3,0,0,1.8,51.3,9.1,62,1.4148,1.2407,0,0.9590,1.0771,0,1,1,0
017901,BORDEN COUNTY ISD,17,256,0.8,15.2,76.2,1.6,0,0,6.3,23.4,6.6,0,1,1,1,1,1,1,1,1,1
018901,CLIFTON ISD,12,1039,2.8,32.9,58.9,0.8,1,0,3.7,60,10.4,14,0.9524,4.1209,2.5510,0.2171,1.3340,0,0,1,1.9305
018902,MERIDIAN ISD,12,523,4,32.1,59.7,0.2,0.4,0,3.6,61.6,10.9,16,1.1161,2.8670,0,1.5576,0.8375,0,0,1,0
018903,MORGAN ISD,12,117,0,65,27.4,1.7,0,0,6,95.7,17.1,0,1,1,1,1,1,1,1,1,1
018904,VALLEY MILLS ISD,12,618,3.4,22.3,70.4,0.6,0.5,0,2.8,56,11,1,1.7857,0,0,4.4843,0,0,0,1,0
018905,WALNUT SPRINGS ISD,12,174,0,59.2,40.2,0,0,0,0.6,86.8,10.9,1,0,0,1,0,2.4876,1,1,1,0
018906,IREDELL ISD,12,135,0,24.4,74.8,0,0,0,0.7,51.9,9.6,5,0.3854,2.0833,1,0,1.3369,1,1,1,0
018907,KOPPERL ISD,12,224,0.9,12.1,86.2,0,0,0,0.9,72.3,12.1,1,0,8.2645,0,0,1.1601,1,1,1,0
018908,CRANFILLS GAP ISD,12,123,0,27.6,72.4,0,0,0,0,78,8.1,0,1,1,1,1,1,1,1,1,1
019901,DEKALB ISD,08,822,20.8,11.6,62.4,1.2,0.1,0,3.9,65.2,11.4,1,1.5337,0,0,8.6207,0,0,0,1,0
019902,HOOKS ISD,08,885,13.9,9.6,68.9,0.2,0.2,0.1,7,57.6,10.3,26,2.0032,4.1075,0.2767,0.4006,1.2839,0,0,0,0.5495
019903,MAUD ISD,08,482,7.5,2.1,86.9,0.6,0,0,2.9,52.9,11.6,1,1.8904,0,13.3333,0,0,0,1,1,0
019905,NEW BOSTON ISD,08,1376,22.2,6.4,62.8,0.4,0.5,0.1,7.6,62.8,13,41,1.4370,2.8143,1.8677,0.3811,0.8544,0,0,0,0.3209
019906,REDWATER ISD,08,1130,2.7,3.6,91.5,0.8,0.3,0,1.2,40.4,8.8,34,2.0384,2.6738,1.0893,0.8170,1.0286,0,0,1,0
019907,TEXARKANA ISD,08,7239,45.5,13.2,35.5,0.4,1.1,0.1,4.2,68.5,10.2,1136,1.3532,2.8566,1.9231,0.0067,0.2579,0.2201,0,0,0.7545
019908,LIBERTY-EYLAU ISD,08,2672,47.8,5.8,39.8,0.3,0.2,0.4,5.7,73.8,11.4,262,1.1688,2.2432,1.5092,0.0658,0.5754,1.2723,0,0.9542,0.6696
019909,SIMMS ISD,08,515,0.2,3.5,93.6,0,0,0,2.7,55.3,16.1,0,1,1,1,1,1,1,1,1,1
019910,MALTA ISD,08,147,0,5.4,87.1,1.4,0,0,6.1,60.5,10.9,0,1,1,1,1,1,1,1,1,1
019911,RED LICK ISD,08,484,0.8,3.5,92.6,1,0.6,0,1.4,7.2,5.2,8,0,2.4038,0,0,1.0799,0,0,1,0
019912,PLEASANT GROVE ISD,08,2020,12.3,6.9,73.5,0.6,3.4,0.3,3.1,27.3,7.6,25,3.2234,11.0526,7.4797,0,0.0544,0,1.1765,0,0
019913,HUBBARD ISD,08,96,0,14.6,80.2,2.1,0,0,3.1,57.3,13.5,0,1,1,1,1,1,1,1,1,1
019914,LEARY ISD,08,110,4.5,7.3,79.1,0.9,0,0,8.2,68.2,5.5,0,1,1,1,1,1,1,1,1,1
020901,ALVIN ISD,04,19667,14.7,43.9,30.4,0.5,8.7,0.1,1.8,50.5,9.2,900,1.4631,2.7415,1.7611,0.9213,1.0051,1.7778,0.0128,1.1111,1.1111
020902,ANGLETON ISD,04,6549,11.5,46.7,38,0.8,0.5,0.1,2.3,60.6,8.1,717,1.4568,2.7205,2.4013,0.9855,0.6827,0.1743,0,1.3947,0.0606
020904,DANBURY ISD,04,773,0.5,21,75.2,0.8,0.4,0,2.2,28.7,8.9,54,2.0648,2.2888,3.7037,0.0882,1.2313,2.3148,0,1,0.8418
020905,BRAZOSPORT ISD,04,12364,8.4,50.8,36.6,0.4,1.5,0.1,2.2,57.3,8.5,839,1.4061,2.1735,2.3554,1.0089,0.7002,0.2980,0.0795,0,1.4086
020906,SWEENY ISD,04,1886,15.5,21.3,57.8,0.4,0.3,0.1,4.6,48.9,7.8,36,1.4201,3.5613,2.6882,0.6521,0.7689,0,0,0,0
020907,COLUMBIA-BRAZORIA ISD,04,3042,11.2,27.8,57.9,0.2,0.3,0,2.5,53.3,8.5,142,1.5062,2.9826,3.0810,0.8106,0.6811,0,0,1,1.4085
020908,PEARLAND ISD,04,19964,16.1,29.7,41.1,0.5,9.8,0.1,2.8,27.8,8.8,513,2.0124,4.3417,2.1430,1.0173,0.7683,0.3899,0.0199,0,1.1835
020910,DAMON ISD,04,187,1.6,47.6,47.6,0,0.5,0,2.7,80.7,9.1,36,0.0344,0.3053,0,0.8170,1.2838,1,0,1,0
021803,BRAZOS SCHOOL FOR INQUIRY & CREATI,06,478,50,42.9,6.1,0,0.4,0,0.6,93.5,7.5,27,0.0396,0.4938,1.8519,0.0863,0.6072,1,0,1,0
021805,ARROW ACADEMY,06,927,66.6,31.8,0.8,0,0.3,0.1,0.4,83.6,4.4,169,1.2386,2.2862,1.4837,0.0186,0,1,0,5.9172,0
021901,COLLEGE STATION ISD,06,11607,13.9,21.4,53.6,0.3,7.7,0.1,3,34.5,8.3,379,2.2867,3.1154,3.4737,1.3562,0.3840,0.8795,0.2056,0,0.0880
021902,BRYAN ISD,06,15723,19.7,53.5,24.9,0.2,0.4,0.1,1.2,74,7.7,4516,1.2604,2.1425,2.4290,0.7756,0.4251,0.1107,0,0.2214,0.0185
022004,TERLINGUA CSD,18,99,0,76.8,21.2,2,0,0,0,73.7,10.1,2,0.6784,4.9505,1,0.6510,2.3585,0,1,1,1
022901,ALPINE ISD,18,1047,0.7,64.5,32.8,0.1,1.1,0,1,50.9,8.2,3,8.5134,4.0650,0,0.5168,1.0163,0,0,1,33.3333
022902,MARATHON ISD,18,41,0,82.9,14.6,0,0,0,2.4,90.2,4.9,0,1,1,1,1,1,1,1,1,1
022903,SAN VICENTE ISD,18,24,0,37.5,54.2,0,0,0,8.3,41.7,4.2,0,1,1,1,1,1,1,1,1,1
023902,SILVERTON ISD,16,187,2.1,41.2,54.5,0,0,0,2.1,54.5,9.1,1,1.8349,0,0,0,0,1,1,1,47.6190
024901,BROOKS COUNTY ISD,02,1532,0,98.5,1.2,0.1,0.1,0,0,85.5,8.4,72,0.0162,3.1415,1,1.0152,0,0,0,1,1
025901,BANGS ISD,15,1055,3,24.7,69.1,0.2,0.4,0.1,2.5,46.5,10.5,0,1,1,1,1,1,1,1,1,1
025902,BROWNWOOD ISD,15,3504,5.4,38.6,52.1,0.5,0.7,0.1,2.7,63.9,9.1,97,1.3875,3.2854,2.8637,0.8012,0.7321,0,0,0,5.7274
025904,BLANKET ISD,15,215,1.4,24.7,70.7,1.9,0.5,0,0.9,54.4,12.6,17,2.0545,4.6685,4.2017,0.2382,1.2480,0,0,1,0
025905,MAY ISD,15,259,0.4,21.6,76.8,0.4,0,0,0.8,53.7,10.8,2,0.9311,0,0,2.3148,0.6510,0,1,1,0
